"TCD","DLOC","TCLOC","scores_ANN"
0.3,8,791,9.3
0.6,7.5,200,7.1
0.1,3.5,45,10.4
0.4,140,7430,11.8
0.6,59,230,6.9
0.3,4,212,8.2
0.1,0,39,5
0.2,3,122,6.9
0.2,12,91,7.9
0,0,0,5.7
0.5,3,37,5.7
0,0,0,9.7
0.5,8,419,7.7
0.2,0,283,9.2
0.3,3,479,8.7
0.1,4.5,309,8.6
0.6,11,690,7.8
0.3,16,408,8.2
0.1,4,27,9.9
0.4,4,153,6.4
0.2,0,120,8.9
0.2,0,65,5.5
0.1,5,43,9.1
0.4,13,141,8.2
0.3,0,13,4.8
0,0.5,25,8.9
0.2,14.5,447,11.5
0.1,0,235,9
0.6,10.5,315,7.7
0.2,0,647,9.3
0.3,18,88,6.6
0.4,0,85,6.6
0.3,3,776,9.4
0.1,0,130,8.1
0.2,0,39,5.3
0.1,0,79,6.6
0,1,1,5.5
0.3,31,986,8.7
0.6,5,126,7.8
0.7,0,15,4.6
0.3,9,4587,13
0.2,12,70,6.9
0.3,11.5,180,6.5
0.3,1.5,515,9
0.4,46,59,5.7
0.6,24,354,6.1
0.1,5,59,5.4
0.5,4,34,4.4
0.2,4,136,6.5
0.3,3,131,7
0.2,10,6284,10.8
0.1,3,160,7.9
0.6,0,40,5
0.3,8,1302,9.5
0.4,0,22,6.3
0.2,3,114,9.4
0.1,8,35,6.7
0.2,2,22,5
0.2,1,46,5
0.4,3,21,4.4
0.2,0,18,5
0.6,0,340,6.9
0.3,0,18,4.3
0.1,2.5,47,6.2
0.1,2,66,6.9
0.4,13,311,9.5
0.4,18,452,7.5
0.3,3,22,4.4
0.1,3,21,5
0.2,0,104,7.1
0.6,3.5,92,6.5
0.7,3,116,8.3
0.2,10,319,9.5
0.2,0,20,5.4
0.1,0,18,5.6
0.2,3,44,4.8
0.1,0,23,5.7
0.2,3,22,4.8
0.1,4,101,8.4
0.1,6,1425,11.4
0.1,0,18,5.7
0.4,2,20,4.4
0.1,6,39,6.2
0.4,3,22,4.4
0.2,0,19,5.6
0.2,5.5,485,9
0.2,3,33,5.7
0.1,1.5,46,6.5
0.1,23,99,6.8
0.6,27,214,7.8
0.1,5,57,7.1
0.1,0,31,6.5
0.2,2,42,6.1
0.1,1,54,6.8
0.4,8,65,7.1
0.2,0,102,6.9
0.1,0,101,8.3
0.4,3,164,6.8
0.1,1.5,17,8.2
0.3,19,76,6.9
0,0,0,7.4
0.3,3,181,6.8
0.2,3,165,10.4
0.4,12,235,7
0.3,5,584,7.6
0.5,5,398,8.5
0.2,3,195,8.1
0.3,3,5621,10.6
0.2,30,150,8.3
0.4,2,63,5.7
0.2,6,323,9.9
0.1,0,366,8.8
0.3,53.5,330,9.7
0.1,0,254,7.3
0.3,0,680,8.4
0.5,0,36,5.7
0.5,5.5,48,5.8
0.3,10.5,57,5.8
0.2,7,69,7.9
0.5,0,38,5.7
0.3,8.5,54,5.9
0.4,3.5,62,8.2
0.3,3.5,397,8.3
0.3,3.5,45,5.6
0.2,0,70,8.4
0,0,4,9.6
0.3,10,196,8.4
0.2,0,616,8.9
0.3,10,518,7.9
0.5,130.5,6651,9.2
0.2,7,182,11.4
0.1,0,32,9.6
0.4,19,1915,9.3
0.5,21,37,5.2
0.2,278.5,1080,10.2
0.3,6,42,5.6
0.3,3,196,9
0.4,9,2279,11.7
0,0,0,7.2
0.3,44,816,10.3
0.3,3,61,6
0.8,18,55,4.9
0,0,0,8.2
0,1,14,8.4
0.4,8,309,6.9
0.1,0,474,9.1
0.3,9,276,8.2
0.1,7.5,46,8.2
0.6,8,253,7.7
0.1,1,61,10
0.3,3,177,7.4
0.4,23,135,7.6
0.3,5.5,53,7.4
0.4,19,121,6.7
0.1,3,38,7.9
0.1,0,2001,9.1
0.5,6,167,8.3
0.4,16,1070,10.6
0.4,6,196,7.2
0.4,3,79,6
0.2,0,205,7.7
0.3,30,94,9.9
0.1,8.5,52,10.3
0.1,1,436,11.6
0.1,0,107,9.2
0.3,12.5,222,10.4
0.5,0,22,6.1
0.2,3,1312,10.7
0.6,5,226,7.4
0.2,0,347,8.5
0.4,27,211,8.7
0.1,1,390,10.5
0.3,3.5,3278,7.6
0.4,12,280,7.5
0.4,3,182,7.7
0.8,11,26,4.2
0.5,42,77,5.7
0.4,3,160,6.7
0.2,21.5,6999,8.2
0.3,18,231,7.9
0.3,10.5,2699,12.4
0.4,3,62,7
0,1,14,10.3
0.2,4,96,6.2
0.1,0,294,8.3
0.3,8,69,9.1
0.3,9.5,274,8.3
0.1,3,32,9.6
0.2,9,5700,10.7
0.2,9,1743,9.4
0.2,3,285,8
0.3,0,39,6.1
0.1,0,52,5.9
0.2,0,521,8.8
0.2,3,873,8.7
0.1,6,98,10.3
0.4,25,186,7.1
0,3,25,11
0.2,4,680,8
0.4,5,100,6.6
0.3,13,31,6.5
0.5,16,601,7.6
0.3,5,1248,10.1
0.5,5,125,6
0.1,0,927,7.2
0.1,4,415,8.6
0.1,0,334,9.3
0.3,3,282,6.7
0.2,7.5,4102,13.1
0.6,4,145,6.6
0.2,0,424,10.9
0.3,9,4446,9.7
0.3,14,3400,10.2
0.3,12,955,9.3
0.3,6.5,675,9.5
0.1,3,19,9.5
0.5,7.5,20,5.9
0.1,0,124,7.6
0.2,5,2334,7.8
0.6,3,90,6
0.4,0,15,6.5
0.3,5,156,7.3
0.3,0,19,4.8
0.2,3,21,5.3
0.2,24.5,533,8.4
0.6,0,75,7
0.1,2,151,7
0.4,14.5,1042,8.6
0.1,0,1613,10.3
0.4,5.5,48,4.8
0.1,2,85,7.6
0.4,0,42,4.9
0.1,0,27,6.2
0.2,0,13,4.8
0.2,0,26,5.8
0.1,0,5,9.8
0.1,3,36,6.8
0.1,0,196,7.8
0.1,3,93,8.6
0.4,0,67,5.2
0.5,4.5,65,5.7
0.2,3,1389,9.6
0.1,0,20,6.3
0.3,14.5,717,8.6
0.3,0,13,4.3
0.2,0,13,5.4
0.2,0,63,6.1
0.3,5,20,8.3
0.2,0,26,6.1
0.5,7,180,7.9
0.1,1,537,12.3
0.1,3.5,441,7.9
0.3,0,15,4.3
0.1,0,2,6.8
0.2,3,355,9
0,0,0,5.4
0.4,2,107,6.7
0.1,0,558,9.2
0.5,8,238,7.1
0.2,0.5,738,9.8
0.3,5,1591,12.2
0.3,0,52,4.9
0.2,0,65,6.9
0.2,6,93,8
0.3,0,15,6.6
0.4,3,75,6.2
0.4,40,905,8.8
0.4,0,52,5.8
0.2,5,1145,9.3
0.4,3,117,6.8
0.2,0,235,8.3
0.4,12,444,7.4
0.2,0,117,5.7
0.7,5,468,8.2
0.3,113,402,7.3
0.3,3,855,7.2
0.3,16,582,8
0.3,11,679,10.8
0.3,15.5,82,6.6
0.1,2,731,10.9
0.1,0,2932,9.3
0.2,0,346,8.2
0.5,9,184,8.5
0.3,10.5,574,7.9
0.7,0,45,4.6
0.1,0,891,9.8
0.2,4,1109,9
0.4,3,363,7.6
0.2,9,1853,12.6
0.3,6,71,6.6
0.3,4.5,175,8.5
0.3,23,62,5.8
0.7,3.5,2068,7.9
0.4,15,90,9.6
0.6,5,271,7.4
0.1,3,35,7.5
0.3,0,39,4.6
0.9,0,15,6
0.7,0,60,4.3
0.7,0,15,3.6
0.5,0,36,5.1
0.6,5,20,5
0.2,1,77,7.7
0.3,10,87,6.4
0.1,0,20,8
0.1,3,45,6
0.1,3,11,8.2
0.8,6,21,4
0.2,4,991,9.5
0.4,20,17946,7
0.2,7,161,10.5
0,3,32,11
0.3,0,359,5.7
0.5,6,351,7.4
0.4,44,7305,9.8
0.4,10,80,8.9
0,0,131,6.9
0.3,0,30,6.6
0.7,13.5,71,6.1
0.3,7.5,983,9.6
0.2,3,144,7.6
0.3,3,334,6.1
0.5,17,240,7.5
0.5,3,7577,4.7
0,2.5,27,9.4
0.5,32.5,99,7.1
0.4,0,51,5.5
0.3,4,1297,10.2
0.1,1.5,7,7.7
0.3,0,134,6
0.3,4.5,45,6.5
0.4,34,95,6
0.4,4,709,9.8
0.3,6,67,5.9
0.2,3,4203,9
0.3,2,629,8.7
0.2,3.5,313,7.4
0.5,23.5,1210,8.5
0.5,55,76,6.7
0.3,8,996,8.9
0.1,2,144,10.8
0.2,3,3,7.3
0.3,21,39,5.7
0.1,0,785,9.2
0.2,5,310,7.2
0.3,5,143,6.6
0.6,65,95,6.4
0.4,34,159,6.5
0.6,0,61,4.9
0.2,1.5,364,7.1
0.4,7,21,4.4
0,3,326,9.2
0.1,0,322,8.5
0.1,1,34,11.3
0.1,2,4,6.8
0.5,3,46,5.8
0.5,3,42,5.1
0.4,14,1162,8.9
0.1,0,234,9.7
0.2,14,478,10.9
0.3,5.5,305,8.9
0,0,4,7.8
0.6,80,99,6.6
0.2,4,118,6.9
0.3,0,54,5.1
0.3,3,40,5.3
0.3,11,256,7.2
0.3,2,20,5.8
0.2,9,24,4.9
0.3,11,900,8.4
0.2,27,76,6.8
0.6,34,537,8.5
0.5,4.5,201,6.7
0.1,10,84,6.5
0.5,3,20,6.2
0.3,27,195,7.7
0.2,4,76,6.7
0.2,0,23,5.2
0.5,43,62,6.5
0,0,31,8.3
0.2,7,190,8.2
0.1,0,30,8.5
0.3,0,67,5.4
0.4,19.5,871,8.7
0.3,45,92,7.8
0.3,0,268,4.5
0.3,5,5288,10.4
0,0,1,8.3
0.1,0,140,7.7
0.3,0,149,7.1
0.4,68,544,7.1
0.6,9,133,7.2
0.2,4,1378,9.5
0.2,0,221,8.4
0.1,5,44,6.1
0.2,3,126,7.5
0.2,0,82,6.1
0.6,11,29,5.1
0.2,0,262,7
0.3,31,705,6.8
0.2,3,145,6.9
0,0,0,6.6
0.2,3,301,9.1
0.5,38,575,7.6
0.5,40,57,6.7
0.2,0,869,8.6
0.2,0,262,8.1
0.4,3,21,4.8
0.2,3,862,9.3
0.2,12,918,10.5
0.3,13,40675,11.2
0.1,8.5,23,9
0.1,22.5,50,6
0.6,5,488,8.5
0.5,20.5,98,7.1
0.3,3,571,6.1
0.4,61,193,8.2
0.7,7,40,7.1
0.6,3,18,7.4
0.4,6,103,5.9
0.2,0,240,7.7
0.3,2,796,8.2
0.2,2.5,72,8
0.1,0,1635,10.7
0.4,3,108,7.2
0.4,65,4009,9.3
0.3,6,19128,8.6
0,0,0,5.9
0.2,0,30,7.7
0.4,16,1551,10.2
0.3,1,270,7.8
0.5,9,213,8.2
0.4,6.5,316,8.2
0.4,13,365,9.5
0.2,0.5,48,7.5
0.1,11,11,10.3
0,0,0,6.5
0.2,0,24,7.6
0.6,2,38,4.7
0.5,10,758,8.2
0.3,10.5,107,5.9
0.4,0,52,4.7
0.2,6.5,666,7.3
0.2,3,64,6.6
0.2,0,133,7.7
0.1,3,160,8
0,0,0,6.8
0.2,23.5,63,8.2
0.2,14,68,6.4
0.4,0,81,7.7
0.4,3,56,6
0.2,3,259,7.7
0.3,11,72,6
0.5,14,910,8.2
0.1,3,28,6.8
0.2,3,84,6.8
0.3,23,858,8.8
0.5,4.5,59,6.5
0.1,3.5,65,6.7
0.2,4,979,12.5
0.1,6.5,13,6.5
0.1,3,24,9.4
0.3,0,22,4.7
0.2,0,13,5.5
0.2,0,20,4.7
0.2,3,763,8.9
0.3,0,71,6.7
0.3,0,519,6.1
0,0,0,8.4
0.4,3,32,5.1
0.1,3,56,9
0.2,0,70,8
0.3,16,33,6.6
0,0,392,11.7
0.5,12,486,7.4
0.2,2,25,4.5
0.3,5,40,5
0.2,1,119,6.8
0.2,15.5,369,8.7
0.2,0,102,6.4
0.1,0,61,8.4
0.1,0,55,6.6
0.1,0,86,6.9
0.3,2,258,7.9
0.2,5,280,7.7
0.1,0,70,6.4
0.8,103,122,5.6
0.2,3,631,5.8
0.2,0,83,7.1
0.1,1.5,279,9.1
0.1,3,214,8.4
0.2,5,1335,8.7
0.5,16,55,5.9
0.4,8,311,8.4
0.4,12,1571,6.7
0.1,0,32,8.1
0.4,0,462,7.9
0.2,0,138,9
0.3,39,76,7.9
0.2,0,67,6.7
0.3,0,21,4.5
0.2,0,412,8.1
0.3,38,1467,9.3
0.2,0,202,7.8
0.5,5,61,6
0.2,1.5,137,7.6
0.3,13,1052,9.2
0.3,4,737,9.5
0.2,4.5,2060,8.5
0.4,6,346,8.5
0.3,3,135,7.4
0.3,3,339,6.2
0.2,0,5532,9.6
0.2,5.5,134,7.8
0.1,0,1028,10.1
0.3,6.5,411,7
0.2,12,85,6.7
0,0,0,8.7
0.3,3,18,5.9
0.2,6,28,6
0.8,7,23,4.4
0.3,12,33,5.7
0.1,22,1789,7.4
0.4,71,114,6.9
0.1,3,430,9.2
0.4,3,335,10.8
0.3,6,72,9.8
0.6,81.5,2799,10.1
0.5,9,1008,9.2
0.1,4,424,10
0.5,14,4670,8.8
0.6,58,312,8.1
0.2,0,15,5.8
0.3,0,104,10.3
0.2,2,67,9.1
0.6,36.5,834,7.8
0.1,0,132,8.9
0.1,1,321,10.2
0.6,5,153,7.2
0.3,11.5,144,9.9
0.3,20.5,77,4.7
0.7,72,1400,10.6
0.2,3,395,9.2
0.4,12,715,7.5
0.3,3,969,10.9
0.1,0,182,9.2
0.5,14,607,8
0.1,3,32,9
0.4,20,104,6.1
0.6,13,336,7.9
0.2,3,742,8.8
0.2,0,524,8.2
0.6,35,600,7.6
0.1,13,163,9.3
0.4,0,93,5.1
0.4,26,39,5.3
0.5,5,13,5.1
0.2,12.5,681,9.6
0.5,21,831,8.7
0.2,3,125,7.7
0.1,7,86,5.3
0.5,11,107,6.3
0.1,6,29,5.9
0.3,34,49,6.6
0.6,0,18,4.7
0,0,8,9.9
0.4,29,117,5.7
0.5,7,15,5.5
0.2,10.5,5218,9.6
0.1,3,139,7.1
0.2,3,45,6.6
0.5,1.5,100,5.8
0.3,0,26,5.6
0.3,0,40,5.2
0.1,28,6355,7.7
0.3,3,1339,8.1
0.4,46.5,335,7.2
0.1,0,78,7.7
0,0,15,9.3
0.7,17.5,414,7.3
0.2,1,62,4.9
0.2,3,676,9.3
0.2,3.5,154,6.7
0.4,28,46,4.8
0.4,3,232,7.4
0.3,18,2059,8.9
0.1,11,34,7
0.3,49,184,6.9
0.2,0,182,8.2
0.4,7,9774,8.1
0.4,12.5,64,5.6
0.4,9,656,8.3
0.2,5,173,6.7
0.2,0,15,6
0.1,0,13,4.4
0.1,7.5,546,9.3
0.2,20,240,7.1
0.6,13.5,487,7.2
0.4,3,290,8.2
0.3,3,3487,8.6
0.2,3,2504,4.5
0.5,0,221,8.9
0.3,2,20,5
0.4,9.5,67,5.9
0.3,3,27,5
0.3,5,325,10.8
0.5,3,21,4.8
0.2,7,912,9.1
0.3,3,21,5
0.1,3,263,11.1
0.3,2,21,4.8
0.3,2,40,5.5
0.4,3,63,5.3
0.1,1.5,514,9.5
0.1,0,39,5.1
0.1,7,28,7.6
0.4,2,20,4.8
0.3,3,23,5
0.5,2,20,4.8
0.3,3,150,4.8
0.5,2.5,41,5.3
0,0,0,5.2
0.2,2,41,5.6
0.3,2,20,5.3
0.2,2,21,4.8
0.1,3,22,5
0.2,3,21,5.2
0.1,3,157,10.1
0.4,3,21,5
0.3,3,42,5.6
0.2,4,857,9.7
0.2,5,250,9.2
0.2,0,89,6.9
0.3,3,22,5
0.1,3,22,5.3
0.2,5,46,5.6
0.1,3,16,9
0.3,3,22,4.8
0.4,8.5,36,6.1
0.3,17,83,6.5
0.3,1.5,41,5.4
0.2,2,21,5
0.3,0,52,5.8
0.2,0,18,5.2
0.5,3,164,6.8
0.1,0,13,6.1
0.2,0,18,4.8
0.4,3,13,5.5
0.2,8,81,7.2
0.3,2,20,4.8
0.2,9,27,5
0.5,0,155,7.4
0.1,0,13,5.4
0.1,0,384,8
0.3,0,170,7.9
0.3,25.5,1240,9.3
0.1,6.5,59,7.7
0.2,24,37,6.4
0.3,52,69,6.7
0.2,32.5,574,10.5
0,0,10,11.9
0.1,0,35,5.7
0,0,15,6.6
0.1,84,120,8.9
0.1,0,245,9.5
0.2,5,1399,9.2
0.2,5.5,88,6.3
0.2,3,21,5
0.2,10,620,9.5
0.3,4,22,5
0.3,30,213,7.2
0.2,3,21,5.1
0.3,3,86,6.1
0.4,171,1599,11
0.2,3,23,5.3
0.2,7.5,284,8.1
0.2,3,42,5.9
0.2,5.5,295,7.4
0.4,6,152,6.9
0.1,5,5,6.2
0.4,25.5,1371,9.3
0.2,2.5,89,6.3
0.1,4,288,8.9
0.2,3,67,8.7
0.3,6,227,7.1
0.6,10,26,6.3
0.4,0,845,6
0.1,3,59,8.2
0.4,3,61,5.5
0.5,15,37,5.9
0.3,2,41,5.6
0.2,2,23,5
0.3,3,21,4.8
0.6,0,34,6.9
0.1,5,63,7.3
0.2,0,94,6.8
0.2,0,26,5.9
0.7,0,53,5.9
0.5,25,84,5.9
0.2,0,216,8.3
0.4,52,87,5.7
0.4,0,384,9.8
0.4,3,27,4.1
0.2,7,135,5.6
0.3,20,962,6.5
0.2,3,22,5.4
0.5,5,108,7.3
0.3,3,2697,9.5
0.1,0,307,8.9
0.4,130,3166,8.8
0.5,3,177,6.2
0.2,3,393,8.1
0.2,1,27,3.3
0.2,0,113,10.9
0.5,0,13,3.1
0.4,9,743,8.5
0.5,5,108,7.5
0.1,18,134,9.1
0.5,26,726,7.3
0.3,5,208,7.6
0.2,8,279,9.4
0.3,20.5,362,8.4
0.3,7,122,6.6
0.4,0,52,4.9
0.2,15,316,8.5
0.3,27,54,7.4
0.3,32,371,7.4
0.5,0,26,4.8
0.2,17.5,922,8.7
0.3,9,22,4.9
0.4,31,522,8.1
0.3,2.5,215,7.4
0.5,8.5,137,8.1
0,0,12,9.5
0.7,13,291,7.5
0.2,9,546,9
0.2,3,20,6.3
0.3,53,362,8.3
0.2,6,243,6.1
0.3,4,19,6.5
0.2,16.5,33,7
0.1,1,142,8.5
0.2,12,148,7.2
0.2,1.5,709,8.2
0.2,5,21,5.9
0.4,23,2734,9.8
0.4,19.5,1629,8.3
0.4,26,684,8.1
