"NG","NPA","TNIN","TLLOC","TNLA","TNLS","scores_ANN"
0,0,1,16,0,0,5.5
80,95,22,17434,4,0,9.6
9,14,0,1120,1.5,0,7.1
6,3,1,222,18,0,6.6
0,0,2,98,3,0,5.8
0,0,0,56,1.5,0,5.6
3,0,0,113,1,0,5.2
5,0,57,38156,1.5,0,7.7
2,1,1,2822,2,0,8.1
1,1,0,618,5.5,0,7.2
17,0,0,513,2,0,7.7
1,0,0,296,2,0,9.3
18,0,6,195,0.5,0.5,7.3
2,7,0,302,2,0,4.9
64,19,5,2634,3,0,9.3
4,2,1,687,3,0,6.7
0,1,0,62,5,0,4.8
0,2,0,377,1,0,7.4
32,66,1,4316,3,0,8.9
14,0,0,554,19,0,7
1,0,0,354,2,0,6.9
74,0,2,658,6,0,8.2
28,2,33,17038,0,0,8.1
0,4,0,117,5,0,5.6
3,3,2,1047,1,0,8.3
0,1,0,536,1,0,6.7
0,0,0,50,3,0,6
0,0,0,75,2,1,4.4
23,4,3,3917,13.5,0,9.3
2,8,0,723,0,0,7.1
9,18,6,375,2.5,0,7.2
5,1,5,406,4,0,8.2
6,55,3,9942,1,0,8.6
0,0,0,8087,1,0,4.5
9,10,5,219,1,0,8.9
0,0,0,48,0,0,5
0,0,1,107,1,0,5.9
0,0,0,71,2,0,5
8,7,0,656,1,0,10.8
0,0,0,25,0,0,4.8
36,11,3,2806,5,1,9.1
0,0,0,45,1,0,5
0,0,0,28,0,0,4.8
36,0,9,2044,2.5,0,11.1
0,0,0,24,0,0,4.8
0,0,0,53,2,0,4.8
0,0,0,86,0,0,5.5
0,0,0,87,2,0,5.3
55,4,5,4380,2,0,9.5
0,0,0,314,3,0,5.1
1,0,0,193,12,0,7.6
0,0,0,36,0,0,4.8
0,0,0,207,0,0,6.2
0,0,0,23,0,0,4.8
0,0,0,31,0,0,4.8
0,0,0,61,2,0,5
0,0,0,22,0,0,4.8
0,0,0,448,0,0,4.8
0,0,0,42,0,0,5.3
1,0,0,14,1,1,5.2
0,0,0,139,0.5,0,5.6
0,0,0,54,0,0,5.3
0,0,0,94,0,0,4.8
0,8,0,133,8,0,5
0,4,0,66,4,0,5.2
7,0,0,932,0,0,10.1
0,0,0,26,0,0,4.8
0,0,0,36,0,0,5
0,0,0,38,0,0,5
0,0,0,79,0,0,5.6
17,2,10,3695,5,1,9.7
36,3,3,913,3,1,9.2
11,1,0,406,7,0,6.9
0,0,0,46,0,0,5
0,0,0,126,4,0,5.3
0,0,0,148,0.5,0,5.6
0,0,0,158,2,0,9
0,0,0,46,0,0,4.8
0,0,2,46,0,0,6.1
0,0,0,159,0.5,0,6.5
0,0,0,108,1,0,5.4
0,0,0,39,0,0,5
0,0,0,79,0,0,5
0,0,0,21,0,0,4.8
0,0,0,49,0,0,5
0,1,0,146,0,0,5.8
0,0,0,35,0,0,5
0,0,0,74,0,0,5.2
0,2,0,189,1,0,6.8
6,0,0,99,6,0,6.1
0,0,0,79,0,0,4.8
0,0,1,20,0,0,5.5
19,14,0,370,11,0,7.2
0,0,0,56,0,0,5
0,0,0,44,0,0,4.8
0,0,0,128,12,0,5
19,3,5,181,1,0,7.4
0,0,0,180,6,0,5.4
18,0,0,2409,0,0,8
3,3,2,350,1,0,7.9
58,2,3,2940,2,1.5,9.3
12,0,0,389,0,0,7.7
5,0,0,143,8,0,6.4
2,4,0,144,9,0,6.7
72,23,9,2045,17.5,6,10.5
15,0,0,850,0,0,11.9
0,0,0,200,0,0,5.7
2,2,0,317,8,0,6.6
1,1,0,695,5,0,8.9
17,7,0,2464,5,0,9.5
11,8,0,4721,0,0,9.2
1,0,0,451,6.5,0,6.3
0,0,0,67,0,0,5
46,6,0,2295,4.5,0.5,9.5
0,0,0,62,5,0,5
7,8,0,451,2,0,7.2
0,0,0,118,9,0,5.1
43,15,7,2735,30,6,11
0,0,0,99,5,0,5.3
28,1,0,1045,5,0,8.1
0,0,0,56,3,0,4.8
0,0,0,137,0.5,0,5.9
14,4,0,1479,7,0,7.4
0,2,0,242,2,0,6.9
9,0,0,94,9,9,6.2
22,1,7,2314,4.5,0,9.3
0,0,0,421,0,0,6.3
14,77,1,2156,7,0,8.9
5,0,0,203,1.5,0,8.7
0,0,0,58,0,0,5
2,2,0,556,1,0,7.1
0,0,0,18,0,0,6.3
6,0,1,1155,0,0,6
5,1,1,964,6,1,8.2
4,0,0,79,0,0,5.5
1,0,0,36,2,0,5.9
0,0,0,117,0,0,5.6
0,0,0,126,5,0,5
0,0,0,49,0,0,4.8
0,0,1,21,0,0,6.9
5,0,0,387,3.5,0,7.3
1,0,0,503,1,0,6.8
0,0,0,117,0,0,5.9
0,2,0,19,0,0,5.9
2,0,0,82,1,1,5.9
62,5,0,1079,2,0,8.3
0,1,0,148,1,0,5.7
51,0,4,533,2,0,9.8
1,0,0,41,0,0,4.1
4,0,0,481,1,0,5.6
0,0,1,2801,1,0,6.5
0,0,0,117,0,0,5.4
3,0,1,105,0,0,7.3
31,31,9,8086,2,0,9.5
101,13,1,2971,4,0,8.9
38,10,10,4294,6,4,8.8
0,3,0,194,0,0,6.2
7,4,0,1263,1,0,8.1
0,0,0,94,0,0,3.3
3,3,1,530,1,0,10.9
0,0,0,15,0,0,3.1
18,6,6,1316,2,0,8.5
4,0,1,126,0,0,7.5
29,12,2,920,34,4,9.1
8,11,1,800,3,0,7.3
5,2,0,564,0,0,7.6
20,15,0,1008,2,0,9.4
17,8,2,843,2,1,8.4
1,1,0,274,1,0,6.6
4,0,0,86,1.5,0,4.9
2,14,1,1717,3,0,8.5
9,0,0,150,4.5,4.5,7.4
16,7,0,968,3,0,7.4
26,0,5,3457,1.5,0,8.7
1,0,0,48,0,0,5.7
0,0,0,64,0,0,4.9
1,0,0,32,0,0,4.8
30,1,1,709,4,3,8.1
10,2,0,514,1.5,0,7.4
13,0,0,159,1,0.5,8.1
5,1,0,816,0,0,9.5
6,0,1,141,1,0,7.5
34,12,3,3005,3,1,9
2,0,0,62,1,1,6.3
35,3,0,699,4.5,4.5,8.3
4,5,0,1003,4,0,6.1
1,0,0,38,3,3,6.5
6,0,0,147,3,2,7
5,0,0,1217,5,0,8.5
13,0,0,572,3,0,7.2
19,5,3,3573,1,0,8.2
2,1,0,119,4,1,5.9
52,11,3,4735,2,0,9.8
23,12,8,2550,0.5,0,8.3
5,7,4,962,3,1.5,8.1
5,4,0,559,6,0,6.4
1,0,1,1137,0.5,0,7.6
24,11,2,1966,2,0,8.6
78,101,4,3682,2,0,8.9
17,0,1,474,3,2,8.1
16,0,0,189,7.5,5.5,7.9
7,1,0,490,2,0,8.8
7,0,2,79,1,1,6.6
4,1,0,172,0.5,0,7.5
2,2,2,376,1,0,7.2
17,141,4,649,4.5,0,8.3
13,5,2,320,3,0,7.5
1,0,0,568,0.5,0,7.6
39,12,78,87113,1,0,9.2
0,14,0,352,19,0,7.7
5,0,0,57,4,0,5.9
53,13,9,14398,8,5,9.9
2,0,7,2842,0,0.5,5.8
27,21,58,43565,1,0,9.2
4,0,0,287,1,1,7.8
4,1,2,369,1,0,8.1
10,1,0,457,4,0,8.7
0,7,0,368,1,0,6.4
3,0,0,295,5,0,6.6
6,0,0,94,2,2,6.5
1,0,1,138,1,0,5.2
2,0,0,188,1,0,6.6
2,0,0,136,0.5,0.5,6.8
1,2,10,4163,1,0,6.2
0,0,0,33,0,0,4.2
0,0,1,454,1,0,5.7
2,0,0,256,2,0,6.7
7,3,2,611,4,0,8.9
0,0,2,1465,0,0,5.9
3,2,1,138,1,0,6.5
1,0,0,23,0,0,4.2
0,0,0,49,0.5,0,5.8
0,0,0,40,1,0,6.9
8,0,0,354,7,5,7.3
31,11,24,19730,2,0,9.6
8,0,0,666,4,0,6.5
0,8,0,173,1.5,0,7.1
7,0,0,192,3,1,7
10,6,1,1064,1,0,7.8
2,2,0,354,6,2,7.3
178,30,2,5683,3,0,9.7
1,2,1,297,1.5,0,6.5
10,7,55,20329,0.5,0,7.9
23,1,5,1302,1,0,8.6
6,2,0,228,1,0,6.9
35,5,1,1326,0,0,8.8
0,0,0,80,1,0,7.3
3,0,3,418,1,0,6.4
1,2,1,155,1.5,0,6.4
1,1,0,88,1,0,5.5
11,0,0,1393,1,0,8.7
10,4,2,522,7,0,7.3
2,56,3,1738,5,0,9.6
8,0,1,163,0,0,7.8
0,0,0,55,1,0,7.6
0,0,0,250,1,0,8.2
1,1,0,190,5,0,7.2
8,8,2,614,5,0,7.7
2,1,0,137,1,0,5.6
7,2,8,1272,1.5,0.5,8.7
328,127,3,9738,11,3,11.5
30,14,1,1033,5,0,7.6
1,0,0,274,3,0,6
15,13,2,1319,5.5,0,8.2
28,4,9,3812,11,0,11.8
1,0,0,47,0,0,5.7
0,2,0,253,1,0,7.2
0,0,0,18,0,0,8.4
90,1,6,4265,3.5,0,9.2
0,1,0,83,5,0,6
4,5,2,524,2,0,6.5
21,1,7,3170,1.5,0,7.7
4,0,0,275,1,0,6.6
3,2,1,251,6,0.5,7.9
18,8,1,840,0,0,9.3
10,5,1,1552,2,0,8.5
0,18,0,1517,10,0,8.6
3,3,6,1377,7,0,6.7
0,0,0,103,0.5,0,7
1,2,1,163,1,0,6.4
5,12,5,711,2,1,7.5
3,4,2,558,1,0,7.3
1,1,0,427,1,0,9
1,6,0,64,8,1,7
0,0,1,190,3.5,0.5,8.7
13,86,1,7020,6.5,0,10
20,4,2,1653,4,0,7.8
8,0,0,126,8,4,6.2
5,2,0,245,1,0,7
2,0,1,151,1.5,0,7.8
12,4,0,1305,4,0,9.2
22,0,9,2610,6,0,8.4
0,6,1,147,6,0,7
5,0,2,656,2,0,8.9
0,85,1,672,2.5,0,8.6
4,6,0,161,12,0,5.6
3,3,0,438,8,0,7.3
17,23,1,1854,1,0,8.3
6,2,2,1200,12,0,8.5
4,28,0,667,29,0,8.5
6,23,0,207,0.5,0,7.9
4,0,0,241,1,0,5.8
7,5,0,852,2,0,7.6
3,1,1,83,1,0,5.8
0,0,0,77,3,1,5.4
6,0,0,637,2,0,7
11,0,0,1178,1,0,11.8
10,13,1,691,3,0,7.6
6,0,6,299,1,0,8.5
3,14,0,130,5.5,0,6.7
0,0,0,120,1.5,0.5,7
46,27,20,11640,2,0,8.5
4,0,0,205,3,0,8.6
30,1,4,1731,9.5,2,8.6
16,22,1,3602,6,0,12.1
6,0,1,191,1,0,7.9
11,6,2,829,1,0,7.1
5,7,5,54,9,0,5.5
39,9,4,2614,4,0,8.6
0,0,1,3107,0,0,4.8
5,0,2,464,8,0,6.6
2,5,0,70,3,0.5,6.1
1,0,0,171,0,0,6.4
0,1,0,53,3,0,6.9
4,13,1,1435,1,0,9.9
29,1,1,1673,4.5,0,8.6
6,0,0,595,3,0,6.7
2,0,2,292,1,0,6.1
2,0,0,123,2.5,1,6
3,5,1,334,4,0,6.8
51,33,0,1056,2,0,8.4
262,18,98,50713,1.5,0,10.5
6,1,4,457,3,0,8.7
2,0,0,130,1,0,6.1
0,0,0,12,0,0,3.5
0,0,0,93,0,0,4.5
2,0,1,186,1,0,7.7
16,47,0,3621,3.5,0,8.7
77,8,76,37849,1,0,9.7
130,44,3,3921,1,0,9.6
6,0,0,140,4,0,6.1
2,0,0,233,1,0,7.5
1,0,0,61,5,0,8.1
0,0,0,37,0,0,6.8
0,1,0,86,1,0,4.5
1,0,1,40,0,0,5.2
89,52,7,4380,3,0,9.7
13,3,1,624,3,0,9.2
56,6,5,1459,4,1,10
33,1,4,1023,7,1,9.2
18,0,1,295,2,0,7.4
0,0,31,26275,0,0,4
3,0,0,173,6,0.5,7.2
0,1,0,55,2,0,4.6
10,1,0,711,14.5,5.5,7.6
3,0,0,349,9,0,7.1
1,0,1,555,1,1,7
2,0,0,215,0.5,0,7.9
0,0,0,77,2,0,4.5
0,0,0,356,4,0,6
8,0,0,289,4,0,6.3
0,0,1,92,1,0,6.6
2,0,0,80,3,0,8.4
0,0,1,85,2.5,0,5.3
0,0,0,15,0,0,5.3
2,0,0,252,4,0,9.4
0,0,0,140,1,0,6.9
4,11,0,170,8.5,0,8.4
1,0,0,22,0.5,0,6.1
16,53,6,29979,5,0,11.1
0,0,2,162,1.5,0,6.5
0,0,0,34,0,0,3.9
5,1,0,127,4,0,5.9
1,3,0,221,3,0.5,8
3,10,0,364,6.5,1,7.8
1,0,0,114,0.5,0,8.1
22,113,47,22478,4,0,11.9
0,0,0,60,4,0,4.3
51,9,3,1622,4,0,8.6
23,0,1,864,5.5,0,9.4
1,0,0,18,0,0,5.5
1,2,0,107,1,0,7.1
4,0,2,731,7.5,0,11.4
0,2,0,80,2,0,5.9
3,0,0,230,1.5,1,7.2
0,0,0,48,0,0,6.9
0,0,1,60,2,0,7.1
0,1,0,453,1,0,5.9
0,1,0,52,0.5,0,4.4
4,0,0,29,0,0,5.9
10,0,0,108,0,0,5.3
61,0,7,1577,4,1,8.8
7,2,7,265,1,0,9.2
0,0,1,288,2,0,5.7
0,0,1,565,2,0,7
17,12,0,1060,14,0,7.3
2,0,0,199,1,0,7.7
26,8,12,4943,8,1,11.4
0,0,0,27,0,0,5
78,15,0,4866,1,0,9.7
1,0,1,5170,0,0,8.5
0,0,0,7,0,0,5.9
9,5,18,8768,1,0,9.1
3,2,1,208,2,0,6.7
21,22,1,1618,1,0,10.1
0,0,0,647,3,0,8.4
3,5,1,1057,2,0,8.1
0,0,0,241,0,0,7.5
51,10,11,8162,7,0,8.7
27,7,6,262,2,0.5,7.3
0,0,0,25,0,0,4.1
1,0,0,1588,1.5,0,7.2
0,0,0,357,2,0,6
43,6,6,2186,3,2,9.2
0,0,0,214,3,0,6.3
15,0,0,166,4.5,4,6.6
13,0,0,868,2,0,8.6
2,2,1,445,5,0,6.9
42,40,0,1749,3,0,8.8
0,0,1,475,1,0,9.2
2,0,0,118,0,0,5.5
0,0,0,72,9,0,5.5
2,3,1,277,1.5,0,6.7
15,1,0,1953,2,0,7.9
3,3,0,1592,1,0,8.2
0,0,0,168,2.5,0,4.9
3,2,1,201,1.5,0,6.7
5,10,3,1403,2,0,7
2,0,4,317,1,0,6.4
5,0,0,207,2.5,0.5,7.5
7,1,0,213,0.5,0,7.7
2,0,0,273,2,0,6.9
3,4,0,522,4,0,7.5
1,0,0,10,0,0,3.8
6,0,10,10749,2,0,6.6
32,1,2,2971,3,0,9.4
0,0,4,40,0,0,7.6
3,4,0,517,3,0,7.6
13,0,2,458,3,0,7
2,1,0,112,6,1,5.8
5,2,0,553,1,0,9.8
27,84,0,4630,7,0,10.6
4,0,1,51,2,0,5.6
6,0,0,92,1,0.5,5.8
21,16,2,769,3,0,7.4
17,24,1,419,5,0,7.3
10,4,3,278,0,0,8
1,0,0,145,1,0,5.3
16,3,2,359,0.5,0,7.5
256,0,1,4126,3,0,9.9
3,0,0,98,3,0,9
3,2,1,194,1.5,0,6.7
4,0,0,376,1,0,8.8
28,2,4,577,6,0,9.6
1,0,0,236,1,0,7.9
6,2,0,367,2,1,7.2
2,0,0,25,0,0,5.1
1,0,3,111,2,0,8.2
0,0,0,25,0,0,6.8
0,1,0,31,0.5,0,4.1
3,1,1,208,1.5,0,6.8
4,0,0,606,0.5,0,6.6
62,2,8,7681,2,0,9.4
7,0,0,5639,2,0,8.7
12,11,2,745,4,0,9.2
6,0,0,542,1,0,8.1
2,0,0,77,3,1,5.5
4,11,9,9891,7,0,8.6
87,75,7,4325,2,0,10
1,3,3,1319,2,0,6.7
0,2,0,100,0,0,5.9
0,0,0,123,1,1,7.3
13,0,1,1071,5.5,0.5,9.9
18,0,1,325,3,2,6.9
0,0,0,47,0,0,5.5
2,0,1,41,2,0,5
1,0,0,28,0,0,5.5
27,3,3,1185,3,0,8.2
0,2,0,108,0,0,5.9
3,0,0,106,0.5,0,7.2
0,12,0,56,1.5,0,4.3
0,5,1,292,4,0,6.9
0,0,0,38,2,0,5.6
4,28,0,847,5,0,8.3
0,4,2,336,1,0,6.3
0,4,1,188,1.5,0,6.4
2,0,1,174,3,1,8.6
46,0,3,1031,0,0,9.6
0,2,0,97,0,0,5.9
0,5,0,295,4,0,6.5
2,0,0,57,1.5,0,6.4
8,0,0,68,0,0,7
0,0,0,19,0,0,4
121,75,8,5896,2.5,1.5,9.8
2,3,0,289,1,0,6.7
0,5,0,193,3,0,6.4
2,0,1,307,0,0,8.5
1,7,1,361,3,0,6.9
0,0,0,36,3,0,5.8
16,70,5,5484,10,0,9.7
6,3,0,675,2,0,7.8
0,5,0,251,3,0,6.4
0,7,2,1330,6.5,0,6.9
1,4,0,1281,0,0,10.1
14,7,2,842,2,0,8.1
2,0,1,1023,5,0,5.6
1,0,0,47,0,0,7.8
0,0,0,140,0,0,8.5
25,11,0,622,3,1,7.5
29,2,3,3215,1,0,8.8
10,0,0,958,2.5,0,9
24,0,12,3968,8,3,9.6
6,0,0,75,3.5,2,6.2
1,0,0,85,0,0,5.8
1,0,0,23,0,0,4.9
2,0,0,52,0.5,0,5.2
8,13,1,4688,3,0,8.1
1,0,0,148,1,0,5.3
0,7,0,443,5.5,0,6.7
1,0,0,17,3,0,4.2
0,0,0,47,1,0,3.9
2,0,0,568,7,0,6.7
0,1,0,24,2,0,5.5
3,1,0,826,2,1,8
13,3,1,1116,12,0,8.5
14,0,2,344,1,1,9.9
0,9,0,1537,13,0,7.4
3,0,0,103,0,0,5.9
15,0,0,1378,2,0,8.4
6,14,2,2624,5,0,9
0,1,0,80,1,0,4.9
4,1,0,500,1,0,6.5
0,14,2,425,3.5,0,8
7,3,0,285,1,0,7.8
4,0,0,74,1,1,7.2
3,109,6,1390,1,0,7.5
10,2,2,1854,1.5,0,8.5
6,12,4,233,3,0,7.6
2,3,0,1181,2,0,9.9
3,10,2,756,4,0,9.8
3,23,0,600,10,0.5,7.9
3,0,0,612,0,0,6.5
1,0,0,34,1,0,6.1
4,0,0,472,1,0,7.3
2,0,1,117,3,2,7.9
0,2,2,353,2.5,0,9.6
11,0,0,451,6,2,7.3
0,0,0,205,2.5,0,6.7
34,5,2,1613,1.5,1,10.8
6,0,0,645,4,0,7.3
0,0,0,115,0,0,5.1
0,0,0,5,0,0,4.4
0,0,0,3,0,0,3.3
2,1,0,202,1.5,1,7.7
6,1,0,977,2,0,8
1,0,0,582,1,0,7.8
4,0,0,341,1,0,6.6
0,0,0,25,1,1,8.4
4,0,0,70,1,0,9.8
5,9,0,448,5,0,8.4
14,1,0,2207,2,0,10.3
1,1,0,3270,5,0,7
2,3,0,355,6,0,6
3,8,3,468,1,0,7.4
0,0,0,350,2,0,7.4
8,2,3,2360,1,0,8.1
0,0,0,56,0,0,5.6
0,0,0,318,0,0,7.6
32,3,30,21158,4,0,9
9,3,1,1173,3,0,8.2
2,2,0,123,2,0,6.3
3,0,0,666,4.5,0,7.5
1,0,0,97,0,0,5.4
21,10,0,1017,2,0,9
1,0,0,20,0,0,7.2
2,0,2,39,3,2,6.1
2,0,0,37,2,0.5,6.2
0,0,0,70,0,0,5.5
0,2,0,145,1,0,6.6
0,0,0,178,0,0,6.3
0,2,0,263,0,0,7
0,0,0,284,0,0,7.8
1,0,0,38,0,0,4.5
0,0,0,61,0,0,5.6
4,0,0,195,3,0,5.3
3,15,1,4022,2,0,8.9
14,11,0,1423,1,0,8.4
0,0,0,30,0,0,5.9
2,0,0,277,1,0,9.4
31,3,2,654,1,0,8.3
1,1,1,394,2,1,7.2
0,0,0,55,0,0,6
14,0,0,2456,2.5,0,7.6
6,0,8,11538,1,0,11.1
0,0,0,26,0,0,5.8
0,7,0,313,7,0,8.9
18,9,2,5895,1,0,9
0,0,0,10,0,0,4.9
2,1,0,165,2,0,5.7
5,32,0,703,2,0,7.5
0,0,0,145,3.5,0.5,7.2
1,3,0,235,27,0,6.2
0,0,0,19,0,0,3.8
8,2,0,171,1,0,6.5
5,2,0,374,7,0,9.2
39,15,1,3176,5,0,9.9
143,221,17,7954,3,0,11.5
7,0,0,1818,3.5,0,7.2
0,0,0,276,1,0,10
0,0,0,137,0,0,7.5
11,3,0,1059,2,0,7.5
0,0,0,296,3.5,0,6.8
0,0,0,10,0,0,5.5
0,0,0,94,2,0,6.1
1,6,0,469,3,0,7.5
0,0,0,403,0,0,4.8
0,0,0,22,3,0,4.4
0,0,0,603,1,0,6.8
4,0,0,665,3,1.5,8.9
1,0,1,193,1,0,7.6
0,0,0,262,1,0,6.7
2,0,0,152,1.5,0,5.3
0,2,0,601,0.5,0,8
0,0,0,49,5,0,4.4
0,0,0,121,0,0,6.9
0,1,0,299,0,0,7
17,9,0,1108,6,0,8.5
1,0,0,75,1.5,0,5.6
0,2,0,58,2,0,5
6,0,0,965,24.5,1,7.4
0,0,2,204,4,1,5.7
5,0,0,66,2.5,2.5,6.5
0,0,0,33,1,0,5
0,0,0,24,1,0,5
2,0,0,213,0,0,5.7
0,0,0,25,1,0,5
0,0,0,91,0,0,5.6
0,0,0,60,1,0,5.9
0,0,0,63,0,0,5.4
0,0,0,34,0.5,0,4.8
0,0,0,61,0,0,5.3
3,0,0,55,4,0,7.8
0,0,0,111,1,0,5.6
43,300,0,864,0,0,9.8
0,0,0,74,1.5,0.5,5.9
0,1,0,72,0,0,5.1
0,0,0,23,2,0,4.4
0,0,0,105,1,0,5.3
0,0,0,94,2,0,4.3
34,15,0,1613,2.5,0,8.4
1,0,0,294,2.5,0,7.1
12,29,2,8118,16,0,8.1
0,0,0,63,2,0,5.6
0,0,0,273,2,0,6.9
0,0,0,32,0,0,4.8
0,0,1,1523,0,0,4
1,0,0,3849,0,0,8.8
3,0,0,124,0,0,5.6
56,16,0,3274,2,0,8.7
43,30,7,4571,0,0,10.2
1,0,0,28,0,0,5.3
69,42,2,3316,137,42,9.9
0,0,0,21,0,0,5.4
0,0,0,85,0,0,6.2
9,6,6,1253,1,0,9.9
6,0,0,57,0,0,5.1
1,0,0,158,1.5,0,4.5
16,6,1,721,26,0,7.2
1,7,1,451,3,1,7.7
38,9,0,3842,1,0,9.2
0,0,0,262,0,0,6.1
36,24,4,2473,4,0,9.7
1,0,0,71,2,0,4.3
3,7,1,1075,1,0,7.8
6,3,2,229,0,0,6.8
0,0,0,128,2,0,6.5
1,0,0,96,3,0,4.5
1,0,0,1095,0,0,5.9
5,5,2,350,1.5,0,7.8
26,16,5,9868,1,0,9.2
42,22,3,1935,7,0,8.9
19,2,0,415,2,0,7.3
4,2,2,211,0,0,8.2
2,0,0,99,0,0,7.6
0,1,1,429,2,1,7.4
3,0,6,2250,0,5,10.8
36,5,0,3071,6,0,9.8
1,0,0,133,5.5,0.5,7.3
5,1,11,506,1,0,9.8
1,0,1,172,1,0,5.3
1,0,0,70,0,0,7.6
18,7,0,2630,5,0,10.1
0,0,0,44,0,0,7.4
16,47,1,3362,1,0,8.7
2,11,0,1111,12,0,8.1
0,0,0,87,0,0,5.5
0,0,0,204,1,0,6.5
0,0,0,103,4.5,0.5,5.2
9,3,6,1393,2,1,8.3
14,0,0,770,13,2,8.6
0,0,1,199,0,0,5.7
5,0,1,70,0,0,5.8
0,0,0,41,0,0,4.9
2,1,0,33,3,2,5.6
14,19,1,2053,3,0,8.7
0,1,0,225,4,1,6.6
0,0,0,146,3.5,0,10.3
43,4,6,600,3.5,2,8.1
6,2,0,368,3,0,6.4
0,0,0,43,1,0,5.3
1,2,1,131,1,0,7.4
9,6,0,1170,1,0,7.7
5,0,0,174,2,0,6.7
0,0,0,23,0,0,3.4
3,0,0,274,4,0,6.7
1,0,0,504,1,0,5.7
7,5,0,1799,0,0,9.2
11,30,4,4917,1.5,0,8.6
6,0,0,141,1,0,7.5
4,0,0,219,4,0,7.6
0,0,8,330,2,0,4.8
1,0,8,283,1,0,6.3
13,1,0,8848,1.5,0,11.3
1,5,0,543,1,0,7.6
0,0,0,248,1,0,6.4
0,0,0,289,2,0,8.4
0,0,0,6,0,0,4
1,0,0,43,4,1,5.2
0,0,0,184,1,0,6.3
7,0,5,609,2,0,9.8
0,0,0,103,0.5,0,5.6
0,0,0,636,3.5,0,7.5
1,0,0,161,1,0,5.2
0,0,0,187,3,0,6.1
4,6,0,344,3,0,7.1
23,59,0,1615,5,0,9.4
7,0,1,2063,2,0,8.9
32,2,9,2070,1,0,9
69,0,1,1352,3,1,10.3
0,2,0,977,0,0,7.2
0,0,0,2145,0.5,0,7.6
1,0,0,156,1,0,4.6
0,0,0,69,0,0,4.5
3,1,0,1757,0,0,7.6
0,0,0,73,1,2,7.7
13,2,3,2010,6,2,11.9
0,0,0,1242,0,0,6.9
0,0,0,73,0,0,4.4
0,0,0,1066,0,0,6.6
16,1,1,172,2,0.5,7.1
0,0,0,305,0,0,6.1
0,0,0,547,0,0,6.5
2,0,21,13198,1.5,1.5,6.6
12,3,6,2604,2,0,8.2
0,0,0,31,0,0,4.4
5,2,2,65,3,0,5.9
0,0,0,901,0,0,6
2,0,0,883,1,0,8.7
0,0,0,58,0,0,4.3
0,0,0,805,0,0,6.8
63,2,2,4651,1,0,11.1
79,0,0,738,5,4,8.6
0,0,0,277,0,0,6.4
3,0,0,275,6,0.5,5.7
0,0,0,30,0,0,5
3,1,0,535,1,0,7.1
1,1,0,237,5.5,0,6
1,2,0,1116,2,0,8.6
9,0,1,991,3.5,0,7.9
0,0,0,188,0,0,6.9
1,0,0,80,1,0.5,5.5
9,8,0,4318,3,0,7.6
46,6,0,2163,4.5,0.5,7.7
0,0,0,664,2,0,6.2
3,0,0,462,3,0,7.2
11,0,6,260,7.5,0,9.1
0,0,0,20,0,0,4.7
23,6,0,1253,8,3,10.9
0,0,1,325,2,0,8.9
32,0,15,10419,6,1,7.9
15,0,1,2293,2.5,0,9
8,3,0,989,8,2,9.5
80,0,0,961,5,0,9.5
1,0,0,370,1,0,7.4
10,0,0,239,3,0,7
8,0,0,468,3.5,0.5,6.4
3,1,0,244,2.5,0.5,7.1
18,25,0,1751,1,0,8.4
7,2,0,598,3.5,0,7.7
4,0,2,1022,1,0,8.3
8,0,0,70,9,8,8.6
18,25,7,5787,1,0,9.6
2,4,0,387,7,0,7
2,0,0,35,1,0,6.6
19,0,1,2534,1,0,9.7
4,10,0,333,3,0,7.7
7,17,0,2524,2,0,8.6
0,0,0,197,0,0,6.3
0,0,0,27,0.5,0,6.1
5,0,1,211,3.5,0.5,8.2
14,10,8,1188,15,1,8.9
4,3,1,42,0.5,0.5,6.8
0,0,0,31,3,4,5.7
7,1,2,367,1.5,0,6.6
0,0,0,96,1,0,5.8
32,1,2,1275,4,0,8.8
0,0,0,104,0,0,4.6
6,0,18,4259,3,3,5.7
0,0,0,40,8,1,4.4
13,0,1,158,2.5,2,6.8
6,1,1,487,1,0,6.9
1,1,1,249,0,0,7
1,4,0,750,3,0,7.1
6,1,0,395,2,0,6.6
88,88,3,2927,3,0,11.1
19,0,0,471,2,1,7.7
3,0,1,31,0,0,5.6
3,0,1,325,3,0,6.9
1,23,0,216,11.5,0,8.7
6,12,0,398,23,4,5.7
2,0,0,502,3,0,7.4
8,0,0,326,0,0,7.8
1,3,1,833,2,0,7.6
13,1,0,1930,0,0,7.9
16,0,1,184,4,4,7.1
0,2,0,273,0,0,6.9
0,0,0,39,1,1,4.6
0,0,0,115,0,1,5.2
0,0,0,40,0,0,4.8
6,1,0,1081,1,0,8.4
0,0,0,51,0,0,4.5
1,4,0,1779,0,0,7.8
0,0,0,26,1,1,4.4
0,6,3,2493,7,0,5.9
2,3,3,123,0,0,7.7
0,0,0,134,1,1,5.1
1,0,0,221,8.5,0,7.8
0,0,0,59,0,0,4.7
0,0,0,61,0,0,4.5
0,0,0,32,0,0,4.4
0,0,0,541,0,0,6.8
0,0,0,271,0,0,6.1
2,0,0,325,0,0,6
0,0,0,23,0,0,5.1
0,0,0,66,1,1,4.9
2,0,5,1103,0,0,7.7
22,17,0,2040,6.5,0,9.8
0,2,0,699,3,0,7
