"TCD","DLOC","TCLOC","scores_ANN"
0.1,5,6,4.8
0,0,1,2
0,1,8,4.5
0,0,1,4.2
0.5,30,50,3.4
0.1,0,3,5.6
0.1,37,68,5
0,0,3,4.9
0.4,8,8,4.6
0.4,1,17,1.9
0,1,1,4.8
0.1,0,1,4
0.1,0,1,2
0.2,29,29,4.6
0.1,4,8,4.3
0,0,0,6.6
0.2,0,2,1.3
0,1,1,4
0.5,22,25,1.9
0.1,7,7,4.1
0.3,47,53,4.6
0.1,5,5,2.2
0.1,7,7,3
0.2,3,5,4.7
0.1,59,104,9.2
0,0,1,3.3
0.3,85,101,3.6
0,0,0,5.9
0.6,20,20,1.5
0.2,22,23,3.9
0.3,9,11,1.3
0.2,4,4,3.5
0.1,6,9,1.1
0.1,17,144,5.1
0.2,3,4,6.6
0,0,1,3.9
0,0,0,1.6
0.2,9,17,4.3
0.1,0,1,1.3
0,0,1,5.9
0.1,1,34,6.9
0.4,19,32,1.2
0.2,31,34,4.4
0.1,0,4,3.3
0.3,13,13,3.2
0.2,33,160,1.8
0.6,5,5,1.8
0.4,16,18,1
0.2,22,31,4.5
0.3,18,18,2.4
0.2,6,15,3.8
0.4,4,8,2.2
0.3,7,7,3.3
0.2,2,2,1.2
0.2,16,47,4.4
0.1,5,5,3.2
0.4,34,34,5.8
0.2,27,37,1.6
0.5,49,49,3.1
0.3,2,2,0.9
0.3,5,5,2.4
0.1,8,8,2.5
0.5,111,112,4.1
0,5,11,4.4
0.4,66,66,2.1
0.3,34,35,3.7
0,0,0,0.3
0.2,4,12,1.4
0.1,13,56,4.4
0,0,1,1
0.1,4,4,1.7
0,0,0,1
0,7,9,4.5
0.1,8,10,1.8
0.2,15,22,2.4
0.3,5,5,3
0,3,3,4.4
0.4,63,64,4.1
0.3,94,168,2.7
0.5,92,179,5.1
0,6,10,3.9
0.3,11,11,3.2
0.2,11,19,2
0.2,16,97,4.5
0,0,0,4.3
0.1,6,19,4.5
0.6,10,45,2
0.8,35,35,1.9
0.2,3,3,0.4
0.1,5,6,5.1
0.4,3,3,3.4
0,0,0,4.8
0.1,6,10,4.3
0.1,5,5,2.7
0.2,5,40,4.7
0.4,26,29,2.5
0,6,8,5.2
0.1,36,73,4.2
0.2,4,4,2.3
0.1,2,14,4.6
0.1,7,7,4.8
0,3,3,2.6
0.4,70,122,3.3
0.2,14,14,5.1
0.1,10,33,4.8
0,0,1,2.2
0.1,0,2,3.3
0.1,21,152,5
0.3,6,6,3.4
0.1,0,12,4
0.3,24,60,3.2
0.1,3,3,5.3
0.1,3,3,2.1
0,5,5,3.5
0.2,3,9,6.6
0.2,1,12,2.7
0.2,55,64,5.2
0.3,3,3,2
0,1,1,2.1
0.2,12,12,3.6
0,3,18,5.4
0.1,0,4,6.6
0.4,3,3,3.8
0.2,6,95,6
0.1,5,6,3.5
0.1,3,9,3.8
0,0,2,3
0.4,5,5,3.9
0.1,15,26,4.8
0.2,44,79,2.7
0,0,1,4.3
0.4,52,82,2.8
0,0,1,4.4
0.3,3,3,1.8
0.2,17,49,1.8
0.2,0,2,2
0.1,0,2,6.5
0.2,7,11,1.2
0.1,1,1,1.9
0,1,1,1.7
0.6,16,16,5.3
0.1,5,6,1.7
0.4,35,35,5.3
0.1,3,4,1.5
0,0,1,4
0.1,3,5,2.1
0.1,13,26,3.4
0,1,3,3.9
0.1,8,35,1.5
0,0,1,1.9
0.1,6,21,4.7
0,3,3,3
0,1,1,6.7
0.1,15,39,4.6
0,0,2,2.9
0.6,25,25,2.1
0,6,10,3.2
0.5,13,13,1.5
0.1,0,2,1.9
0.2,18,28,2.8
0.5,24,24,2.3
0.3,10,43,1.9
0.1,0,38,4.1
0.1,5,9,3.5
0.7,20,20,2.8
0.3,50,57,4.3
0.2,3,4,1.8
0,0,0,3
0.4,18,18,2.1
0,3,8,1.3
0.1,5,17,4.1
0.2,20,35,4.7
