"McCC","WMC","NL","scores_ANN"
1.3,11,0,2.9
1.7,2,0,3.5
1.7,3,2,4.1
1,36,1,4.8
1,3,0,5.7
1.3,4,1,3.6
2.8,73,5,4.6
2,7,2,1.4
2,1,0,1.2
12.2,477,15,4
1.2,11,2,2.9
1.5,6,1,3.4
2.1,24,1,3.2
2.1,5,1,3.4
1.3,7,1,4.5
1.3,6,1,2.7
2.2,13,1,2
1,6,0,2.4
1,12,0,4.6
1,12,0,4.7
3,18,2,4.2
1.2,14,1,5
1.2,1,0,3.4
1.4,15,0,4.4
1.4,0,0,4.7
1.4,2,0,5.8
1.4,20,3,4
1.4,14,1,5.2
1.4,3,0,3.7
1,6,0,4.6
1.2,0,0,1.9
1,5,0,4.5
1,2,0,1.2
1,4,0,1.7
1.5,12,1,3.4
2.7,8,1,5.4
3,3,1,0.7
1,1,0,4.4
3.3,10,2,1.4
1.8,37,2,4.3
2,2,1,3.8
1.1,8,1,3.3
2,4,2,0.8
3.7,44,3,3
1.4,15,2,2.3
1,7,0,5
1,1,0,4.9
4,4,2,1.3
1.2,5,4,5.7
1.2,0,0,1.8
1.2,8,0,5.3
1.2,4,0,4.7
1,2,0,3.1
1.1,2,1,3.8
1.1,19,1,4.8
2,2,0,1.3
1.3,9,1,3.4
1,1,1,2
1.5,37,2,4.5
1,22,0,4.1
1,1,0,4
1,2,0,3.4
1.1,3,1,4.2
1.1,5,0,2.3
3,1,0,2
1,3,0,4.6
2,2,1,3.1
1.3,4,1,3.4
1.9,23,1,3.1
1.9,1,0,4.1
1.9,1,0,5.6
1.9,60,3,5
1.9,3,0,4.9
1.9,5,0,4.6
2.5,5,2,1.9
1.5,15,2,4.8
1,2,0,4
1.4,1,0,2.5
1.4,8,0,4.4
1.4,24,1,4.6
1.6,12,1,4.3
1.6,257,1,6.6
1.6,1,0,1.3
1.6,2,1,1.8
1.5,6,2,2.4
3,9,2,4
1.1,18,1,4.1
2.1,21,2,4.6
1.2,5,1,2.6
1.3,12,1,2.2
1.3,5,0,3
2.4,4,0,4.7
2.4,124,6,9.2
1.6,9,2,3.3
1.6,1,0,2.5
3,42,3,3.6
3,3,0,2.1
1,1,0,5.9
3,3,1,4.5
2.2,3,2,1.5
2.2,33,2,3.9
1.1,7,1,1.3
1,4,0,3.5
2.2,18,2,1.1
4.3,6,2,2
4.3,120,5,5.1
4.3,0,0,0.5
1.9,6,1,4.6
1.9,4,1,6.6
1.9,4,2,3.9
1.9,1,1,1.6
1,6,0,4.3
1.6,5,1,5.9
1.6,48,2,6.9
1.6,1,0,3.6
3,9,3,1.2
1,5,0,2.7
2.1,19,3,4.4
1,3,0,1.4
2.5,5,3,3.3
1,3,0,3.2
6.6,86,5,1.8
1,5,0,1
3.3,49,4,4.5
1.6,1,0,0.7
1.6,10,2,2.4
1,6,0,3.8
2,4,1,3.3
1.9,28,3,4.4
1.9,7,1,3.2
1.9,12,0,5.8
1,18,0,4.5
1.8,14,1,1.6
1.3,16,1,3.1
1,1,0,0.9
1,3,0,2.4
1.2,14,1,2.5
1.2,26,1,4.1
1,4,0,2.2
1,27,0,4.4
1.4,38,3,4.4
1.4,18,1,2.1
1.2,12,1,3.7
1.3,4,0,0.3
3,9,2,1.4
2.5,2,0,4.1
2.5,25,4,4.4
1,1,0,1
2.5,55,4,4.5
2.2,6,1,4.1
2,4,2,2.2
2,2,0,3.3
3,12,2,2.4
3,3,0,3
1.6,1,0,1.8
1.6,17,2,4.4
2.4,19,2,4.1
2.4,83,4,2.7
1,17,0,3.9
1.4,29,2,5.1
1.4,0,0,1.9
1.4,24,3,3.9
2.4,12,2,3.2
2.4,0,0,2.7
1.8,16,2,2
1,28,0,4.7
5,60,4,4.5
1.4,3,0,3.3
1.4,4,0,4.6
1.1,25,0,4.3
1.6,50,3,4.5
1,3,0,0.4
1,24,1,5.1
1.4,1,0,3.4
1.4,3,0,4.8
1.4,13,2,4.3
1.4,4,0,2.7
2.5,15,3,2.5
1,28,0,4.4
1.5,35,1,5.2
2.9,4,1,2.9
2.9,3,0,2.2
2.9,69,5,4.2
1.2,31,1,4.6
1.2,23,1,4.8
1.1,8,1,2.6
6,6,4,2
1.8,8,1,4.8
1.8,1,0,2.5
1.7,25,1,4.4
1.1,19,0,3.3
1.2,4,0,2.2
1.2,22,1,5.1
1,26,0,4.3
1.7,75,7,4.8
1.2,5,1,2.9
2,2,1,3.3
1.5,3,0,4.7
4.3,197,5,5
1,7,0,1.9
1.7,10,1,2.5
1.7,5,2,2
1.6,18,1,6.6
1.6,0,0,1.8
1.6,4,0,3.4
1.3,9,1,4
2.2,27,2,3.2
1.1,8,1,5.3
1.2,5,1,2.1
2.2,9,2,3.3
1,9,0,3.5
1,3,0,6.6
1.4,40,0,4.8
1.4,17,6,2.7
3.4,1,0,2.5
3.4,54,7,5.2
3.4,2,0,4.5
1.7,5,2,2.5
2,2,1,2.1
2.1,7,0,3.6
2.1,30,3,5.4
2.1,35,1,4.5
1.8,7,2,2.1
1.3,5,0,2.8
1.3,7,1,6.6
2.8,1,0,3.8
2.8,109,5,6
2.8,12,3,3.5
2.8,7,0,3.8
2.8,6,0,3
1,1,0,3.9
1,10,0,4.4
1,5,0,2.3
1,4,0,5
1,37,0,4.7
1.4,62,3,4.8
2.1,15,2,2.7
1.9,21,1,4.1
2.2,45,2,4.3
6.1,45,6,2.8
6.1,2,0,3.8
6.1,1,0,1.9
6.1,1,0,3.9
10,10,2,4.4
1.5,15,3,1.8
3,3,1,2
1.5,1,0,1.7
1.5,2,1,1.9
2,3,2,5
2,7,1,6.5
1,9,0,4.3
2.5,5,1,1.2
2.3,46,3,4.3
1.5,9,1,1.7
1,2,0,5.3
6,12,3,1.7
1,0,0,1.8
1,7,0,5.3
1,4,0,1.5
1.5,22,1,4
1,10,0,3.5
1.8,7,1,2.1
1.3,12,1,3.4
2.2,31,3,3.9
1,1,0,2.8
2,8,1,2.2
3.3,46,3,1.5
2.3,12,3,2.2
2.3,2,0,4.3
1.5,58,4,4.7
2.2,20,2,3
2.8,7,5,4.6
2.8,3,0,4.5
2.8,7,2,6.7
2.8,45,3,4.6
1.3,14,1,2.9
1.3,4,1,2.1
1.7,26,2,3.2
2,2,1,1.5
5,5,2,1.9
1.2,12,1,2.8
1.2,5,1,2.3
1.3,8,0,1.9
1.5,6,1,2.3
1.8,9,0,5.3
1,10,0,3.4
1.2,1,0,0.7
1.2,20,3,4.1
1.8,21,4,3.5
1,2,0,2.8
3.1,34,6,4.3
1,3,0,4.1
1,1,0,2.6
1,2,0,3
1.2,4,1,2.1
1,19,0,4
2.1,2,0,1.3
2.1,48,3,4.1
1.1,1,0,2.7
1.4,1,0,4.2
1.4,17,3,4.3
1.5,6,1,2.2
1.6,3,0,1.4
1.6,32,3,4.7
2.1,21,2,2.9
2.3,42,7,4.1
2.3,43,3,5.4
5,40,3,1.6
6,6,4,5.5
1,1,0,0.1
1,6,0,2
1,10,0,0.8
1.5,3,1,4
1.2,7,1,4.2
1.6,19,2,5.5
1,18,0,4
1.8,35,2,4
5,5,1,4
3.5,38,5,5.6
2.5,12,4,1.2
2.5,8,3,2.3
1,5,0,2.6
1.2,11,1,2.3
2,2,1,4
1.8,15,1,7.3
1.2,5,1,2.4
1.5,6,0,4.9
2,2,0,1.5
1.3,68,2,5.8
1.3,18,3,2
1.3,1,0,2
1.2,4,1,3.2
3,3,1,4
1,3,0,2.3
2.5,58,3,4.1
2.5,3,0,1.4
1.1,11,1,2.8
1.3,11,0,4.9
1.3,7,2,4
4,24,8,2.1
1.6,6,0,6.6
1.6,5,2,5.2
3,66,4,4.7
3,13,2,4.9
1.1,10,1,4.8
1.3,6,0,4.9
1.3,8,1,3
1.9,17,1,2.1
8,6,0,3.4
1.2,17,1,3.3
1.2,7,1,4.5
2.1,33,2,3.3
1.3,4,0,4.5
1.3,5,1,3.4
1.2,3,1,2.9
1.2,1,0,3.6
1.2,15,2,4.9
2.3,41,3,2.9
1.7,14,2,2.6
1.3,4,1,4.5
2.7,64,6,2.4
2.7,0,0,2.7
2.7,4,1,3.4
2.7,6,0,4.9
1.2,3,0,2.1
1.2,2,1,2
2,81,3,4.8
1.2,1,0,4.8
1.2,3,0,3
1.2,2,1,2.7
3.4,2,0,4.3
3.4,2,0,3.7
3.4,153,12,5.9
2,2,1,2
1.5,275,2,6.8
4,12,2,1.4
1.7,14,1,4.7
1.7,5,2,4.3
1.1,15,0,4
1.1,4,1,3.4
2.8,34,4,3.3
1.2,7,1,3.1
1.3,1,0,1.3
