"McCC","WMC","NL","scores_ANN"
1.2,11,1,4
6.9,55,8,5.7
1.2,108,1,5.1
1.2,10,1,2.1
1.4,17,3,3.6
1.3,20,2,5
1.8,13,2,1.2
1.8,12,0,4
1.4,13,1,6.2
1.4,0,0,5
1,5,0,6
2.7,16,9,2
3.1,22,2,4.2
2.7,8,2,1.4
2.2,21,1,4.4
2.2,15,2,4.8
1.2,26,1,4.3
1.4,35,2,5.4
1.4,4,2,5.3
1.4,7,0,3
2.5,15,2,3.3
2.4,24,3,2.4
13,13,3,1.9
2.3,57,3,4.7
1.8,1,0,4.6
1,5,0,1.6
3,3,1,1.3
1.3,28,2,5.3
1.9,0,0,0
1.9,13,1,3.2
3.4,37,8,2.5
2.6,1,0,2.7
2.6,43,2,5.3
2.6,64,3,4.7
1.1,9,1,2.1
1,4,0,4
1.1,9,1,1.6
1.5,22,2,5.2
1.5,8,1,4
2.5,5,1,1.1
1.7,5,2,1.9
1.1,17,1,2.8
1.2,12,2,4
1.2,3,0,5.8
1.2,21,1,3.7
1.9,12,1,6.8
1.2,34,1,4
2.5,8,1,4.1
2.5,33,4,3.8
1.2,18,1,3.4
1.3,22,0,3.1
1.3,12,2,2.5
3,12,4,3.9
1.1,13,0,5.6
1.1,3,1,2
1.1,4,0,3.1
2.4,31,3,3.3
2.6,42,3,4.3
1,3,1,6.1
1.7,12,1,2.6
1.4,29,2,5
1.2,25,1,3.7
5.2,52,4,4.1
31,31,16,1.2
1,0,0,4.9
2.4,5,0,2.4
2.4,34,2,2.9
3.5,14,2,5.4
1.5,4,0,2.6
1.7,3,0,2.4
1.7,35,3,2.7
3,3,2,2.8
2,3,2,2.8
3,9,2,3.6
1.4,30,2,5
1.8,7,2,2.7
1.5,20,1,3.9
1,18,0,3.8
3.8,35,5,3.1
3.8,2,0,2.9
3.8,1,0,4.6
1.6,18,1,2.5
1.1,20,1,3.8
1.3,24,1,6.1
2,1,0,3.8
2,18,4,5.5
2,1,0,5.4
1.1,5,0,4.7
1.1,13,1,2.4
1,7,0,3.6
2.2,5,3,2.9
2.2,8,2,5
1,21,0,3.9
1,6,0,3.7
1.7,13,2,3.8
1,8,0,2.1
2,3,1,2.6
1.1,8,1,3.2
2.8,27,2,2.7
2.8,1,0,3.9
1.1,10,1,3.5
1.1,1,0,4.6
1.2,6,0,4
1.2,2,0,5.5
1.2,1,0,6.2
1.2,4,0,5.9
1.2,9,2,5.6
1.4,24,2,5
2.7,16,2,3.4
2.8,13,2,6
1.8,9,1,2.1
1,8,1,5.4
1.1,11,1,2.2
1.9,5,0,2.8
1.1,15,1,3.6
3.4,47,4,5.9
1.5,3,1,1.2
1.1,2,0,7.1
1.1,11,0,2.5
1.1,1,0,2.5
1,13,1,7.1
1.1,15,1,3
1.5,22,2,3.6
4.5,9,2,1.6
1.2,3,1,4.1
1.2,2,0,4.2
1.2,79,2,5.8
1.6,5,1,3.6
1.5,1,0,1.3
2.2,13,4,5.4
1.5,1,0,0.7
1.5,2,1,1.3
1.7,12,1,3.7
1.1,15,1,6.2
4,4,2,5.3
1.2,18,1,5.7
1.5,19,1,3.1
1.3,71,2,5.7
1.3,8,5,2.5
1.1,3,0,1.4
1.1,35,2,4.2
1.8,14,1,5.7
1.8,7,1,4
1.4,18,2,2.6
1.7,5,1,2.9
1.4,18,2,3.1
1.4,1,0,1.3
2.5,5,2,3
3,6,3,3
3,0,0,1.3
1.1,63,2,4.7
1,2,0,7.3
1,12,1,7.3
1.6,7,1,4.1
1.2,6,1,2.1
3,1,0,2.7
3,5,2,2.5
3,15,3,2.8
3,15,4,1.9
1,4,1,1.7
2,4,1,4.3
1.2,3,1,1.6
1.2,2,0,4
1.2,3,1,3.5
1,3,1,1.4
1.5,6,2,2.1
1,2,0,7.2
3.8,49,4,4.4
1.1,14,1,3.1
1.1,2,0,0.8
1.5,6,0,2.7
4,93,5,4
1.6,21,2,5.3
1.6,26,0,5.3
1.6,27,3,5.7
1.6,1,0,6.2
1.6,2,1,5.6
10,20,2,1.7
1,6,0,2.2
1.2,13,1,3.3
1.2,12,0,2.5
1.5,13,1,5.3
1.5,9,1,3.8
1.2,36,2,5.2
1.9,21,3,3.8
2.2,33,1,3.9
2.2,2,0,2.4
1,9,0,3.8
1.7,10,3,2.5
1.3,13,3,3.7
2.4,26,10,3.7
1,2,1,3.2
1,11,0,4
4.6,41,9,3.4
1.9,19,6,3.3
1.9,11,1,6.8
1.9,7,2,6.1
1,3,0,7.1
2.1,16,1,3.3
2.1,1,0,0.8
2.1,2,1,1.3
1,17,0,4.3
3.8,90,7,4.4
1.1,3,0,2.7
1.1,23,1,4.5
1,6,0,2.8
2,4,3,2.3
2,6,2,2
1,20,0,3.6
9.3,28,4,3.4
1.2,3,1,1.5
4.8,38,4,3
1.4,15,1,4.1
1.4,15,1,4.6
1.4,1,0,3.8
1.8,14,1,2.2
1.2,167,3,8.4
1.2,15,1,4
1.3,4,1,1.8
1.2,3,1,2
1.2,1,0,5.4
1.2,1,0,4.2
1,7,1,3
1,1,0,6.8
1.6,10,0,5.2
1,2,0,6.8
1.7,10,2,2
1.4,7,2,3
1.3,9,1,3.2
1,6,1,5.1
1.9,21,2,3.8
1.4,7,1,4.8
1.8,42,2,3.9
1.7,15,2,5.3
3.3,49,11,4
2.3,142,4,4.2
1.7,15,2,4.9
1.2,97,4,5
1,12,0,3
1.4,1,0,6.2
1.4,9,2,7.1
2,9,3,2.5
1.6,18,2,5.4
1.3,11,1,4.4
1.1,7,1,2.4
1.1,1,0,0.7
1.9,17,1,2.9
1.4,16,2,4.6
2.1,17,4,2.9
1.5,10,0,2.9
1.5,17,1,3
2.6,16,1,4.2
2.6,20,4,4.9
1.6,18,2,5
1.1,16,1,4.8
1.3,53,2,3.1
4.4,4,1,4.1
4.4,12,2,2.5
4.4,1,0,2.3
2.3,7,3,1.4
1.7,10,1,4.1
1.7,16,3,7.8
1.7,3,0,7.6
1.7,5,2,3.6
3.2,3,1,5.6
3.2,90,6,4.2
3.2,2,0,1.3
3,9,2,5.9
1.4,7,1,2.9
1.3,3,1,3.7
1.6,11,1,2.5
3,9,2,4.1
3,3,0,2.9
1.5,9,3,2.4
1.4,24,2,5.5
5,5,2,2.3
2,1,0,4.6
2,5,1,4.5
1.8,9,2,2.4
1.2,3,1,3.7
1.9,19,3,2.7
2,12,4,4.8
2,3,0,5
2,1,0,2.3
1.1,73,2,5.8
1.4,7,0,3.3
1.4,13,1,5.3
1.4,9,1,2.9
1.4,1,0,4.1
6.1,4,0,3.3
6.1,89,2,4.1
6.1,4,0,2.2
1.5,3,1,3.7
2.5,27,2,2.5
1.6,9,2,2.9
1.5,16,1,2.6
1.6,13,2,2.8
1.2,6,1,2.6
1.9,8,2,4.3
1,3,0,3.8
1.6,13,2,2.9
2.5,9,2,4.9
2.5,0,0,1.8
1.1,17,1,4.7
4.2,16,3,4.6
4.2,1,0,2.5
3,1,0,3.8
3,74,3,4.6
3,1,0,3.2
2,17,3,5.4
2,11,0,3.3
4.7,14,3,5.4
1.5,17,1,3.9
1.3,22,2,4.8
4,32,4,5.6
1,9,0,2.7
2.8,85,4,4.6
2.5,14,4,6
2.5,4,1,4.6
1,22,0,3.2
1.4,30,2,5.3
1.7,47,2,6.3
1.7,1,0,2.5
1.2,4,0,3
1.2,33,3,4.6
1.8,11,2,2.3
1.2,6,0,2.4
1.2,4,1,1.7
3.2,13,3,2.5
1.7,34,2,4.5
1.7,8,2,4.9
1.9,19,4,3.7
1.4,35,2,5.1
1.1,6,0,2.9
1.1,3,1,3.2
1.7,10,1,2.4
1.8,25,1,4.8
1.2,0,0,1
1.2,21,1,3.4
8,8,3,4.5
5.8,87,2,3.5
3.4,24,4,3.4
1.2,13,0,7.3
1.2,6,1,4.3
2,40,1,4.5
1.8,0,0,0.6
2.2,9,2,3.5
2.4,5,0,2.3
2.4,29,2,5.3
1.4,13,2,6.3
1.4,1,0,4.6
1.2,50,2,4.6
2.2,9,1,3
1.4,13,1,3.2
1.4,0,0,1.4
1.6,78,3,6.1
1.6,1,0,2
1.6,5,0,1.8
1.5,6,1,3.6
1.5,3,2,1.4
1.4,6,1,2.2
1,24,0,4
1.2,6,1,1.9
2.3,2,0,1.6
2.2,98,4,3.8
1,10,0,5
1.4,6,1,4.6
4.2,72,10,4.3
4.2,0,0,1.8
4.2,2,0,4.7
4.2,1,0,4.6
1.7,12,1,4.3
1.4,50,2,5.1
1.1,112,2,5.2
1.5,4,0,2.2
1.5,2,1,1.7
1.3,9,2,2.7
1.1,10,0,2.8
1,7,0,3.9
1.1,9,0,2.2
2.9,27,4,2.3
2.9,16,3,3.6
2.9,1,0,1
1.7,22,4,3.9
1.2,30,1,4.2
1,36,0,6.5
1.2,26,2,5.6
1.5,14,1,2.6
1.5,1,0,3.4
2.6,13,2,2.1
2,28,1,3.2
1.4,12,2,3.4
1.4,34,3,5.4
2.8,25,2,2
1.2,11,1,3.3
2,2,1,3
4.6,40,3,3.4
1.8,4,0,2.5
1.8,5,4,1.3
1.3,18,0,5.9
1.3,4,3,4.5
1,11,0,4.3
1.6,2,0,4.2
1.6,9,3,2.8
1,5,0,7.3
4.5,18,2,2.8
2,22,1,4.6
2,14,2,3.1
2,11,1,1.8
1.9,19,1,3
2.4,3,1,2.9
2.4,15,2,4
2.4,1,0,4.8
3,0,0,4.5
3,6,3,1.6
6,6,3,1.8
3,14,2,4.7
3,1,0,3.6
1.3,20,1,4.8
1.3,3,0,2
1.1,56,1,5
2.1,9,0,4.1
2.1,66,2,5.4
1.1,13,1,2.3
4.7,14,2,2.8
1.2,7,0,4.9
2,0,0,4.5
1,22,1,5.3
1.2,2,0,3.2
1.2,4,1,4.1
1.4,11,0,2.7
4,2,0,2.7
4.2,71,6,6.2
4.2,1,0,1.2
3,6,4,4.3
3,1,0,1.7
1,2,1,2.4
2,5,0,2
1.4,40,3,6.1
4.1,45,8,4
1.1,1,0,1.2
1.1,3,1,2.9
4,4,2,4.3
1.2,90,1,4.8
1.2,8,1,3.2
1,25,0,3.8
2,5,3,3.1
1,4,1,7.1
3,3,3,3
1,10,0,3
1,16,0,2.9
1.6,1,0,4
1.6,10,1,4.1
1.6,12,5,6.1
1.2,12,1,4.2
1.8,7,2,1.5
2,2,0,3.9
2,28,2,4.1
2,28,4,7.2
2,5,1,5.1
4,12,4,6.1
3.8,57,5,3.8
2,3,1,4.3
2,1,0,1.3
1,25,0,5.1
2.5,5,1,5.5
2.1,46,2,3.1
1.5,24,1,3.8
7.5,15,4,5.4
1.1,2,1,3
5.8,5,1,4
5.8,84,5,6.2
2,8,1,5.4
1,10,0,4.3
6.2,11,3,1.2
6.2,194,5,5.7
1.1,4,0,2.2
1,11,0,5.3
3,6,3,2.3
3.2,7,0,5
3.2,1,0,3.9
3.2,26,1,5
3.2,2,0,2.9
3.2,129,5,6.3
3.2,4,2,4.5
3.2,54,3,3.8
2,8,2,2.3
2.5,5,2,1.6
1.6,8,2,2.7
2.1,14,2,1.9
2.1,1,0,1.3
1.9,21,1,3.4
1.2,13,0,2.4
1,35,1,4.8
1.4,0,0,2.5
1.4,10,1,3.9
1,1,0,6.1
1.7,15,2,5.5
1.1,16,1,3.6
1.6,20,4,2.8
1.6,2,0,1.7
1.9,18,5,5.6
1.9,12,0,3.2
1.6,13,2,4.8
1,6,1,4.3
3.2,16,3,6.1
1.7,12,2,4.8
1.7,17,2,2.4
1.2,13,1,4.5
1.2,3,0,2.4
2,36,3,4.8
1.8,22,1,4.6
1.7,0,0,1.2
1.2,13,1,5.3
3.7,41,4,1.5
1.4,61,2,5.5
1.4,0,0,1.2
1.2,3,0,3.3
1.2,23,1,5.1
1.2,38,2,5.2
1.2,5,0,3.7
1.2,4,0,4.8
1.2,3,2,1.8
1.1,5,0,2.7
1.2,14,1,2.6
1.4,38,2,5.1
2.9,20,3,6.1
1.4,23,4,4.7
1.4,19,0,4
1.2,17,1,5.2
1.3,28,2,5
1.3,13,2,3.3
1.3,1,0,5
1.3,3,0,3.7
1.1,8,0,2
1.8,16,2,2.7
1.1,21,1,4
1.4,27,2,4.9
1.2,73,2,5.8
1.2,8,0,5.1
1.2,9,2,3.2
2.1,17,3,4.7
1.2,7,2,3.7
1.5,3,1,0.5
1.8,3,0,3.1
1.1,64,2,5.7
1,6,0,8.5
1.5,47,2,5.3
1.4,25,1,5
1.6,14,1,3.2
1.1,7,1,2.6
1.6,44,3,5.5
1.1,18,1,3.4
1.4,7,2,3.3
2,0,0,1.2
2.3,9,1,2.6
2.3,25,3,4.4
1.4,10,2,4.1
1.8,35,4,3.9
1.2,7,1,3.3
1.3,38,1,4.4
1.5,12,1,2.6
1.5,9,1,2.7
1,3,1,1.8
1,19,0,3.8
1.2,10,0,2.2
1.7,59,3,4.2
2.2,11,2,2.7
1,22,2,3.5
2,6,1,4.3
2,16,4,3.2
1.2,10,1,4.3
1.2,3,0,6.6
1.4,1,0,4.8
1.1,1,0,7.2
1.2,40,2,3.8
1.5,3,0,4
1.5,43,2,4.7
1.1,4,3,0.7
1.7,222,4,4.9
1.7,16,2,3.3
1.7,2,0,3.1
2,21,2,3.9
2,18,3,5.3
1.6,1,0,4.3
1.8,7,1,3.1
1.6,3,0,2.7
1.1,1,0,2
1.1,21,1,5.2
1,38,0,4.1
2,99,3,4.4
1,20,0,4.1
2,6,1,4.6
1.3,19,1,3.2
1.1,9,0,2.8
1.9,19,4,4.9
1.9,1,0,3.8
1.9,9,1,2.4
1.8,72,1,4.7
1.8,11,2,4.1
1,10,0,5.1
1.2,61,1,3.9
1.8,6,2,4
1.7,10,1,2.7
3.5,21,6,2.6
1.5,12,1,2.2
6.8,27,11,4.7
1.3,40,2,5.3
1.4,13,0,3.9
1.3,16,2,5.9
1.3,9,0,4.2
1.6,11,2,2.2
1.5,2,0,5.4
1.6,1,0,7.1
1.6,5,1,3
1.3,18,1,2.8
1,4,0,5.1
1.8,73,2,5.1
1.9,23,3,5.8
1.3,55,4,3.6
1.5,1,0,3.8
1.5,27,2,3.9
1.6,16,2,5.4
1.2,15,1,2.9
1.1,34,1,3.3
1.3,24,2,5.2
1.3,132,1,6.4
1.3,8,0,2
3.5,3,2,1.8
1.6,11,1,2.1
1.1,33,1,3.3
1.1,0,0,2.6
6,6,1,1.9
2.3,1,0,4.1
2.3,1,0,4.7
2.3,6,1,5.1
1.3,9,1,3.6
1.3,2,0,1.8
1.5,17,2,5
1,8,0,4.6
2.2,7,0,2.7
2.2,22,3,5.3
2.2,73,5,5.5
1,14,0,2.6
1.7,12,2,4.7
2.9,34,3,3.5
2.9,1,0,2.5
1,15,1,3.5
1.2,21,2,2.6
1.2,21,0,4.2
1.4,14,2,5.4
1.3,2,0,8.6
1.3,51,0,7.4
1.3,5,1,7.6
1.3,29,3,5.3
1.3,3,0,5.5
1.6,6,2,2.1
1.6,12,2,4.8
3.5,4,1,1.8
3.5,10,3,2.1
1,4,1,4.1
1.3,14,0,2.8
1,37,0,3.2
1.3,22,2,6.3
4.5,9,2,3.4
4.1,220,6,5.9
1.4,42,2,5.7
1.2,194,1,8.5
1.2,5,0,2.9
1.7,5,2,2.6
1.5,12,2,2.8
3.3,10,3,2.4
1.1,0,0,1
1.1,14,0,3.1
1,15,0,3.3
1.8,5,2,1.5
1.8,8,1,5.4
1.8,7,3,4.9
1.2,4,1,2.9
2.5,10,3,2.5
6.5,13,7,1.7
1.4,3,0,4.7
1.4,6,1,3.4
1.4,8,0,3.3
2.5,2,0,3.2
2.5,8,2,3
2.3,2,0,1.7
2.3,12,4,3.1
1.2,220,3,6.2
1.5,3,2,1.7
1.1,4,0,2.1
1.7,0,0,4.5
1,14,0,6.8
1,1,0,7.1
2.4,12,2,4.1
1.7,3,1,2
1.7,6,2,4.3
2.9,3,2,1.8
2.9,44,3,4.2
2.9,0,0,1.9
1.5,3,1,2.6
4,12,4,1.8
1,10,0,5.2
2,2,2,2.3
2.1,17,3,3.4
1.2,6,1,4.2
2,8,4,2.5
2,2,0,2.6
1.4,20,2,4.7
2.4,12,4,5.4
1.2,0,0,4.5
1.2,20,1,5.2
2.1,15,1,3.7
1.5,3,0,3.3
3.4,27,3,2.4
2.8,0,0,4.5
2.8,14,1,3.6
1.5,12,3,7.9
1.8,9,1,3.6
1.2,6,1,5.2
1,19,1,4
1,7,0,2
3.2,11,4,4.1
3.2,2,0,3.2
3,15,3,2.1
3.4,53,3,4.2
1.3,31,1,3.1
1,30,0,4.9
1.5,1,0,4.6
1.3,3,1,4.6
1.9,17,3,3.5
1.9,1,0,4.9
4,20,2,2
1.7,29,3,6.2
1.5,17,1,5.4
2,10,2,1.7
2.3,1,0,3.8
2.3,6,1,3.2
1.8,14,1,2.4
1,6,0,1.5
3,3,1,4.3
11,11,4,1.3
2,2,0,2.7
2,81,3,5.1
1,7,0,5.7
1.2,6,1,6.1
11,11,5,1.3
1.4,30,2,2.7
1.3,8,0,3.8
4,4,1,1.3
1.4,7,2,4.7
1.4,2,0,4.1
2,2,1,1.8
1.7,5,1,0.9
1.6,10,2,4.2
1.6,14,1,5.4
1.6,7,1,4.7
1.6,49,4,4.7
2,4,1,1.2
1.2,6,0,2.9
1.8,31,5,1.4
2.1,17,3,2.6
1.6,1,0,4.6
1.6,7,1,0.9
1.6,6,1,5
1.6,5,1,2.7
1.7,27,2,2.6
1.7,2,0,3.3
2,10,1,1.5
1.1,9,0,6.8
1.1,5,1,5
2,2,1,2.6
2.5,0,0,4.5
2.5,5,1,1.8
1.4,6,2,4.4
3.2,12,3,3.5
3.2,1,0,4.6
1.5,26,2,3.6
2.1,15,2,2.2
3,5,3,4.3
3,58,2,4.9
3,3,2,2.5
3,0,0,3.6
3.6,18,2,1
1.6,8,1,6.5
1.6,7,1,8.5
1,2,0,6.4
4.3,1,0,2.6
3.8,19,1,4.8
2.8,10,1,3.5
1.8,7,1,1.7
4.8,10,1,3.5
4.8,116,3,5.4
1,9,0,3.1
1.1,32,1,3.2
1.7,19,3,1.4
1.5,8,1,2.8
4.5,0,0,4.5
4.5,9,1,1.3
2.5,4,1,3.4
1.3,2,1,0.7
1.1,10,0,5.4
2.1,3,1,2
17,17,7,1.3
1.6,11,1,4
3,0,0,1.9
3.3,30,3,2
3.6,25,3,1.6
3.6,18,3,2.1
2.7,8,2,3.9
2.3,7,2,3.9
3,6,1,1.6
2.4,68,4,3.8
2.4,0,0,4.5
1.5,3,1,4.1
1,1266,0,8.6
3.5,1,0,6.2
3.5,12,1,5.8
3.5,1,0,4.7
2.3,0,0,4.5
1.7,5,1,3.9
2.6,2,1,2.7
2.6,69,5,3.8
12,24,1,1.2
12,0,0,4.5
1.8,7,0,4
5.2,31,7,2.2
2.2,5,1,5.5
1.9,1,0,4.7
1.9,1,0,4.8
1.9,40,2,4.1
1,8,0,4.4
1.5,3,1,5.2
2.1,29,5,3.2
7.7,23,4,0.9
1.5,4,1,1.5
1.5,1,0,4.3
1.1,5,1,5.2
1.1,19,1,4.3
1.6,1,0,2.7
1.6,1,0,4.1
1.6,17,3,4.3
1.2,2,0,4.6
2.5,64,3,2.9
2.5,8,1,1.3
1.6,10,1,5.5
2.2,28,2,2.6
2.2,0,0,4.5
2,12,2,2
1,20,0,4.4
1.1,3,1,5.4
2,3,1,0.7
4,4,1,0.7
1.1,4,0,4.9
2.6,13,3,3.4
1.7,15,2,2.7
3,2,1,2.3
3,22,1,3.1
3,15,3,3.9
3,3,1,2.5
1.8,0,0,1.9
1.8,47,0,4.8
1.6,6,0,4.7
1.6,4,1,4.8
3,6,2,1.2
1.4,74,1,4.1
2,4,0,3.7
2,47,5,3.7
1,0,0,1.4
2.5,10,2,5.2
1.6,4,0,3.5
1.6,4,2,6.1
1.7,4,0,4.5
1.7,13,2,7.4
1.7,2,0,2.9
2.8,14,4,6.1
1.8,9,2,3.9
1.8,11,2,1.7
1.9,13,1,2.6
1.7,15,2,6.7
1.8,21,1,3
1.8,2,0,2.3
1.5,6,2,3.8
1,42,1,4.2
1.2,29,1,5.2
1.9,23,4,2.9
3.3,18,5,5.4
3.3,2,0,5.7
1.7,2,0,3.6
1.7,12,3,4.2
8,8,4,1.3
1.3,8,2,4.2
1,115,1,4.9
2.4,22,2,2.3
1.1,10,1,2.8
1,12,0,3.7
2,10,3,2.9
1.2,3,1,5.2
2.4,7,0,3.7
2.4,65,5,8.5
2.4,22,3,6.1
1.5,15,3,3.3
1,3,0,6
1.1,85,1,4.6
1.2,5,0,2.8
3,6,0,5.2
1.1,0,0,4.5
1.1,41,1,4.2
1.5,6,2,5.4
11,11,1,1.9
1.7,0,0,1
1.7,17,1,2.8
1.5,28,1,4
1.5,2,0,4.3
1.1,16,1,6.1
1.3,1,0,4.6
1.1,88,3,4.6
2.5,27,3,2.4
1.2,28,2,5.4
1.6,12,2,6.7
1.7,15,2,2.4
1,13,0,4.5
1.5,1,0,2.5
1.5,2,0,7.1
1.3,38,2,5.4
1.3,24,1,7.1
4.1,41,7,2.1
2.5,2,0,1.8
2.5,11,1,3.1
2,6,1,5.4
1.6,1,0,3
1.6,17,2,2.8
1.5,11,2,5.5
1.5,6,1,6.5
1.5,3,0,3.4
1.2,4,1,2.5
1.7,17,1,2
6.7,1,0,2.5
6.7,12,4,3.4
6.7,7,3,2.7
2.2,20,2,1.8
4,16,4,2.2
2,8,1,2.7
1.5,0,0,4.5
1.3,17,1,2.8
1.5,2,0,4.4
1.5,4,1,2.9
2,1,0,6.2
2,22,2,6.7
2,2,0,5.8
2,14,1,5.4
2,4,0,1.7
5,5,3,0.7
1,1,0,4.3
1.6,13,1,2.1
1.4,19,0,3.3
7.8,47,7,2.9
1.9,34,4,2.6
1,3,1,2.4
3.5,21,5,4.5
6,78,7,3
1.1,5,1,2.3
4,8,2,3.4
1.8,3,1,3.1
1.2,11,1,2.5
6.1,146,6,4.1
4.4,22,2,3.3
3.2,19,4,0.6
1.2,7,0,4
3,12,4,1.9
1.6,8,2,4
1.4,3,1,2
1.4,2,1,1.4
3,12,3,2.3
1.3,33,3,4.6
2.2,1,0,1.6
4.5,24,2,4.3
4.5,3,1,4
2.7,81,7,3.3
1,18,0,3.5
2.5,25,2,2.6
2,92,4,7.2
2,31,3,5.1
2,3,1,2.9
2,3,1,2.7
1.7,40,2,4.7
1.7,1,0,3.8
1,14,0,3.2
2.3,1,0,1.3
2.3,6,1,2.3
1,16,0,7.2
1.8,6,2,1.7
1.8,12,3,3.2
2.8,52,3,5.2
2.8,1,0,2.7
3.2,13,1,1.7
1.3,10,2,3
1.3,1,0,1.8
2.6,39,5,4.1
2.6,8,1,4.2
1.4,13,1,2.7
1.3,3,1,2
1.3,9,2,1.9
1,12,0,6
3.7,0,0,1.2
3.7,136,7,4.8
1.7,19,2,4.9
1.3,18,1,4.9
1.3,10,0,5
1.5,6,1,2.4
6.8,61,3,2
1.1,34,1,4.1
3.7,26,5,2.7
1,6,0,4.5
1.8,20,1,2.2
2,2,1,4.3
1,13,0,3.4
1.3,28,1,4.8
1.3,8,2,2.5
1.8,2,0,0.7
1.8,7,1,5
1.3,10,3,3.8
1.3,16,0,3.6
1.6,18,1,2.9
1.6,1,0,4.9
2,2,0,3
2,82,4,5.1
1,5,0,4.4
1.1,6,1,2.7
1.1,3,0,5.1
1.5,6,1,2.8
1.4,10,1,2.5
1.4,49,2,4
2.5,12,1,5.3
2.5,42,2,4.5
2.1,19,2,2.3
2.1,0,0,2.5
1,30,0,4.4
1,15,0,6.9
2.7,19,2,2.6
1.6,58,4,5
1.2,37,2,3.6
1,10,0,3.3
1.2,10,1,3.1
3.5,14,3,3.1
1.5,17,2,3.2
4.2,21,6,6.1
2.5,8,2,4.9
2.5,6,1,4.1
2.5,1,0,4.7
1.1,7,1,5.6
1.3,2,0,4.1
2,7,1,2.5
16.7,50,3,3.4
2.5,15,7,2.2
1.6,67,2,4
1.4,6,1,2.7
1.8,14,1,2.1
1.4,9,2,7.7
1.4,4,2,3.1
1,0,0,3
8,8,2,0.7
1,4,1,2.1
1.2,2,0,2.2
1.2,3,1,4.6
1.2,12,2,4.3
3.2,13,2,2.4
3.2,29,6,1.8
5,2,0,3.9
5,408,7,5.1
5,16,0,5.5
1.9,26,2,3.1
2,2,2,1.3
2.1,12,4,3.6
2.1,3,0,3.1
4,32,2,6.2
1.5,19,6,2.5
2.1,46,3,3.3
2.8,125,7,6
2.8,1,0,6.2
2.8,2,1,2.1
2.8,34,2,7.4
1.6,12,1,4.9
1.1,16,1,4.2
4,8,2,3
1,0,0,2.1
2,5,0,3.1
2.3,14,3,3.8
1.3,12,0,4.7
9,9,3,3.4
1.9,19,2,4.7
1.1,14,1,1.3
9,9,2,2.7
2.6,45,3,2.3
1.3,1,0,2.1
4,8,2,0.8
2.3,14,7,2.3
5.2,25,3,4.4
1.5,21,3,1
2.3,133,6,5.4
1.2,23,1,3.4
1.5,5,1,1.7
1.4,14,3,6.8
1.4,1,0,6.1
2.4,20,2,5.7
2.4,4,1,3.2
2.4,8,2,3.3
2.4,1,0,4.1
1,35,0,3.6
1,3,1,2
5,5,1,3.4
1,54,0,5.5
5.5,1,0,4.6
5.5,312,5,5.4
5.5,1,0,3.8
1.9,23,3,2.9
1.6,4,1,5.3
1.6,4,2,3.1
2,2,0,5.7
2,4,2,6.1
2.2,32,1,3.4
2.2,15,0,4.8
2.2,1,0,4.2
1.5,10,1,2.3
1.5,2,0,1.2
7,42,4,3.8
2,88,5,5.9
2,3,0,4.4
1.8,20,1,3
3,15,1,2.4
2.3,21,2,3.1
1.1,40,2,4.1
1.7,31,3,1.7
1,5,0,4.2
1.8,11,3,2.5
2.3,3,0,1.8
1.4,13,1,5.2
1,77,0,5.4
2.7,59,3,2.7
1.6,21,2,2
2.3,32,2,4.8
7.4,81,13,2.9
1.7,12,1,3
4,3,0,4.2
1.7,14,1,1.8
1.7,1,0,1.4
1.1,2,1,1.4
1,4,0,0.5
2.3,7,2,0.7
1.1,20,1,4.8
1.7,5,1,6.1
2.1,5,2,4.4
2.8,14,2,0.8
8,8,1,3.4
1.2,8,1,4.9
10.5,21,3,6.1
1.6,3,0,3.6
1.6,69,3,3.7
1.6,10,1,2.3
4.5,18,2,2.7
2,16,2,3.1
1.2,4,2,2.8
1.2,12,2,3.7
1.2,33,0,5.4
2,4,2,1.9
1.2,10,0,3.4
1,8,0,5
1,3,1,1.9
1,2,0,6.9
3.6,18,5,2.9
2,8,1,6.1
1.6,30,1,4.3
2,5,4,1.8
1.6,7,3,1.9
1.6,1,0,1.9
1,20,0,7.1
1.5,2,0,3.3
1,5,0,4.3
2,4,2,1.3
1.8,6,1,1.7
1.8,3,1,1.6
1.2,9,1,7.1
5.4,84,6,3.6
1.7,15,2,6.6
1,3,1,4
5,20,2,3.4
3.1,28,2,4.1
1.5,13,2,4.6
1.5,2,0,2.4
1.7,15,1,3.3
1.1,1,0,5.4
1.1,1,0,5.2
1.1,5,0,7.2
1.1,2,0,3.9
1.6,5,1,5.8
1.6,5,2,3.4
1.6,6,1,4
1.7,105,3,6.1
1.4,7,2,2.3
1.5,20,2,2.4
1.4,31,2,4.1
1.4,13,2,3.4
2.1,21,4,3.6
1,6,1,2.5
1.5,1,0,1.8
6,6,1,3.4
1.7,5,1,3.1
1.9,70,3,4.7
1.9,22,2,6.8
1.9,41,4,7.2
1.1,2,0,2.5
1.8,9,3,2.3
1.2,4,0,2.4
1.2,3,2,2
1.2,10,1,1.7
1.2,1,0,0.5
1.2,7,1,4.3
1.2,13,1,3.1
5.5,21,6,3.6
2.1,17,2,2.4
2.3,2,0,2.9
4,8,3,2.4
1,4,0,1.8
2,2,0,2.4
1,11,0,4.7
1.4,20,1,3.9
2.2,3,0,5.6
2.2,9,1,3.4
2.2,1,0,4.6
5.9,82,3,1.7
1.4,3,0,2.3
1.4,8,2,6.8
