"NUMPAR","TNG","TNA","NPA","TLLOC","TNLS","scores_ANN"
11,2,8,0,96,0,3.1
58,7,10,0,224,0,3.7
6,0,2,0,28,0,2.4
2,1,1,0,15,0,1.9
1,0,2,0,27,0,2.4
2,1,2,0,14,0,1.9
1,0,1,0,13,0,2
4,34,54,1,72,0,4.7
3,1,2,0,18,0,1.9
0,0,1,0,13,0,1.9
1,2,9,0,35,0,3
0,0,0,0,4,0,1.7
0,0,0,0,10,0,2.5
1,1,7,4,6,0,3.2
5,0,1,0,8,0,4.3
8,0,2,1,54,0,1.9
8,0,0,0,23,0,2.3
0,0,0,0,6,0,1.9
5,0,2,0,12,0,1.8
4,1,1,0,36,0,1.9
11,0,0,0,25,0,4
0,0,0,0,32,0,1.9
0,0,1,0,48,0,1.6
6,0,4,0,32,0,0.9
4,13,17,0,17,0,2.9
20,0,3,0,21,0,2.7
20,11,17,0,121,0,2.7
5,0,2,0,84,0,1.9
0,0,0,0,8,0,2.5
0,4,1,0,11,0,3.2
0,0,6,6,6,0,1.2
6,0,3,0,21,0,3.3
7,0,0,0,2,0,1
7,7,13,0,120,0,3.7
0,0,1,0,16,0,2.1
3,0,0,0,13,0,4.1
5,0,4,0,23,0,3.2
5,0,5,0,41,0,2.5
4,2,2,0,46,0,4.1
14,0,0,0,7,0,3.8
14,0,7,0,37,0,2.9
14,3,2,0,191,0,5.2
3,0,1,0,19,0,1.8
0,1,0,0,7,0,1.4
76,9,9,0,176,0,2.9
76,2,10,0,199,0,4
76,10,9,0,505,3,5.2
76,0,2,0,21,0,2.8
5,1,3,0,53,0,2.6
5,0,4,0,80,0,2.8
1,0,1,0,6,0,1.5
1,0,1,0,6,0,1.4
3,0,1,0,6,0,1.5
3,7,3,0,26,0,4
3,0,4,0,62,0,1.2
3,0,1,0,12,0,2.2
1,0,1,0,21,0,1.2
8,2,2,0,87,0,3
3,0,0,0,5,0,5.6
3,0,0,0,8,0,3.8
0,0,0,0,46,0,2.2
12,0,15,0,249,0,2.5
2,0,2,0,21,0,1.2
0,0,6,0,56,0,2.8
0,0,2,0,46,0,3.4
10,4,7,1,51,2,4.6
0,0,14,0,10,0,3.8
3,4,2,1,83,0,0.9
1,0,1,0,17,0,2.8
1,3,1,0,47,0,2.4
6,0,2,0,59,0,3.5
0,0,0,0,14,0,2
2,0,0,0,12,0,2.2
2,0,0,0,21,0,2
2,7,4,0,14,0,4
2,0,0,0,6,0,2.1
1,0,0,0,6,0,2.1
2,0,0,0,14,0,2.1
0,1,9,0,35,1,4.5
13,0,0,0,5,0,5.6
13,2,4,2,38,2,3.1
13,0,0,0,10,0,4.2
12,4,23,5,227,0,3.7
2,0,1,0,10,0,2.6
0,4,8,2,96,1,5.4
1,0,2,0,12,0,1.8
1,0,4,0,13,0,1.9
0,0,4,0,10,0,1.9
1,0,1,0,18,0,0.3
2,0,4,0,26,0,2.2
5,0,2,0,27,0,2.8
5,2,2,0,14,0,1.4
8,0,6,0,131,0,3.7
2,0,1,0,20,0,1.5
97,0,2,0,25,0,2.9
97,14,23,7,1182,8,5
97,2,9,0,135,0,4.5
3,0,3,2,18,0,2
0,15,24,9,24,0,6.1
2,0,5,0,23,0,4
3,6,5,0,66,0,3
2,0,1,1,11,0,1.7
2,0,2,0,46,0,3.4
9,0,9,0,55,0,3.8
1,0,0,0,11,0,1.8
2,0,1,0,19,0,2.2
44,0,0,0,8,0,1.9
44,1,33,1,691,0,4.8
44,0,0,0,6,0,2.7
3,1,3,0,19,0,3.7
2,1,2,0,28,0,3.3
3,0,0,0,19,0,1.7
1,12,5,2,234,0,4.2
1,0,0,0,19,0,0.7
2,0,3,3,5,0,3.4
2,0,1,0,7,0,3.9
2,0,3,2,8,0,2.3
8,2,3,0,10,0,3.2
10,0,0,0,11,0,2.5
10,2,2,1,10,1,4.4
10,1,5,0,52,0,4.6
6,0,3,3,4,0,3.8
70,0,1,0,221,0,4.7
3,0,4,0,58,0,2.5
5,0,0,0,10,0,4.2
5,6,11,1,63,0,4.7
0,0,1,0,7,0,2
11,3,11,0,126,0,3.8
10,1,14,0,109,0,3
1,2,2,0,14,0,2.6
5,1,5,0,528,0,3.7
11,0,7,0,97,0,5.1
1,0,3,3,6,0,2
41,1,33,1,696,0,4.8
4,2,8,4,37,3,3.4
19,2,33,1,317,1,3
2,0,0,0,52,2,2.5
2,0,1,1,27,0,2.5
1,0,0,0,6,0,2.5
1,0,3,3,4,0,3.8
1,21,0,0,201,0,3.5
1,0,1,1,4,0,2.7
1,0,0,0,5,0,4.2
0,0,2,2,6,0,1.4
0,0,0,0,11,0,0.7
4,0,5,0,84,0,2.2
8,0,1,1,7,0,2.5
8,0,0,0,24,0,2
8,0,7,0,50,0,2.9
8,2,2,0,42,0,2.9
2,0,0,0,19,0,1.1
1,7,0,0,10,0,3.5
1,0,3,0,12,0,4.1
0,0,0,0,10,0,0.7
24,22,38,9,181,6,4.8
0,7,0,0,10,0,3.5
1,1,1,1,6,0,3
3,3,15,0,13,0,5.7
1,0,1,0,11,0,1.1
3,0,10,0,22,0,1.8
3,1,5,0,20,0,3.6
41,3,4,0,319,0,4.6
1,1,2,0,29,0,1.4
1,0,3,0,8,0,1.2
78,9,14,6,1688,0,4
14,0,2,0,40,1,2.9
9,0,5,0,23,0,3.4
40,0,2,0,73,0,3.2
40,1,6,0,27,0,3.4
8,5,5,1,32,0,4.5
8,0,2,0,27,0,2.7
0,0,3,0,16,0,2.6
0,0,1,0,106,0,2
24,2,9,0,74,0,2.4
24,0,2,0,46,0,3.4
24,0,1,0,41,0,4.6
24,1,1,0,128,2,4.7
2,0,3,0,8,0,1.2
2,0,0,0,6,0,0.7
14,0,11,0,70,0,4.2
12,42,68,1,141,1,5
12,5,8,3,15,0,3.4
22,7,3,1,301,1,4.4
22,0,0,0,1,0,4.7
22,0,0,0,12,0,5.8
22,3,5,0,99,1,4
8,2,4,0,63,1,5.2
8,0,4,0,13,0,3.7
18,1,10,0,26,0,4.6
18,0,0,0,6,0,0.7
5,0,1,0,3,0,1.9
16,1,9,0,19,0,4.5
0,0,1,0,45,0,1.2
10,1,0,0,10,0,1.7
1,0,0,0,4,0,0.7
6,0,1,0,38,0,3.4
0,0,0,0,9,0,0.7
4,8,8,0,53,1,5.4
0,0,0,0,13,0,0.7
3,0,4,0,6,0,4.4
0,0,3,0,63,0,1.4
26,0,5,3,128,0,4.3
3,0,1,0,7,0,1.2
1,0,0,0,10,0,3.8
2,0,2,0,32,0,3.3
2,0,2,0,18,0,0.8
2,5,8,3,19,0,3.4
31,38,18,0,582,4,3
5,0,6,4,11,0,2.3
5,0,0,0,140,0,2.3
1,4,8,0,97,1,5
1,0,0,0,8,0,4.9
4,0,5,3,17,0,1.8
3,0,5,5,16,0,1.8
1,0,0,0,13,0,1.3
15,1,0,0,19,0,5.7
15,0,0,0,6,0,1.8
15,2,3,0,30,0,5.3
15,0,0,0,17,0,4.7
2,0,1,0,11,0,3.1
13,0,0,0,10,0,3.8
13,0,1,0,67,0,4.8
3,0,2,0,37,0,3.4
5,0,1,1,8,0,2.5
5,1,1,0,13,0,2.2
0,0,0,0,23,0,2
2,0,45,0,439,0,4.5
38,34,1,0,328,0,4.1
2,0,1,0,7,0,4
4,5,8,4,12,0,3.4
1,0,3,0,6,0,4.1
7,0,0,0,19,0,4.2
2,0,0,0,6,0,2
2,0,0,0,6,0,1.9
0,0,0,0,4,0,2
7,4,3,1,15,0,4.6
1,0,1,0,12,0,3.1
5,0,10,0,56,0,3.4
1,0,0,0,6,0,2
63,7,7,0,114,0,3.1
63,0,1,0,12,0,4.1
63,0,3,0,31,0,5.6
63,8,37,3,475,0,5
63,0,5,3,73,1,4.9
63,0,0,0,11,0,4.6
1,0,1,0,27,0,1.9
24,7,8,1,48,0,4.8
2,0,1,0,16,0,4
29,0,1,1,9,0,2.5
29,2,2,0,27,0,4.4
29,9,11,2,117,0,4.6
145,0,4,0,121,1,4.3
145,0,41,4,1736,0,6.6
145,0,0,0,10,0,1.3
145,0,0,0,11,0,1.8
1,0,1,0,25,0,2.4
2,0,6,0,36,0,4
3,0,1,0,12,0,4
0,0,2,0,27,0,1.9
13,0,11,0,80,1,4.1
9,0,15,0,118,0,4.6
1,0,1,0,6,0,4
3,0,4,0,70,0,2.6
3,0,1,0,11,0,4
1,2,0,0,14,0,2.1
4,6,4,0,55,0,2.2
4,0,4,0,81,0,3
2,0,1,0,6,0,4
50,3,4,4,24,0,4.7
50,14,40,0,609,19,9.2
7,2,1,0,27,1,3.3
7,0,1,1,11,0,2.5
25,2,0,0,205,0,3.6
25,2,0,0,14,0,2.1
1,0,0,0,7,0,3.8
2,0,36,0,6,0,5.9
2,2,0,0,14,0,2.1
1,0,36,0,6,0,5.9
2,0,3,0,15,0,4.5
13,0,0,0,15,0,1.5
13,9,5,0,90,0,3.9
5,3,0,0,24,0,1.3
4,0,2,0,14,0,3.5
3,0,2,0,9,0,3.6
17,3,1,0,85,0,1.1
2,0,0,0,7,0,3.8
2,0,0,0,9,0,3.6
63,0,0,0,33,0,2
63,1,46,6,1250,0,5.1
63,0,7,7,17,0,0.5
11,5,20,0,24,0,4.6
11,28,45,6,18,0,6.6
11,0,4,0,26,0,3.9
11,2,3,0,50,1,1.6
1,0,7,0,10,0,3.9
0,0,0,0,11,0,1.7
2,0,0,0,6,0,1.3
5,0,1,1,23,0,2.5
5,3,5,1,60,1,4.3
5,0,0,0,10,0,1.3
3,0,2,0,33,1,5.9
2,0,5,0,251,0,6.9
2,0,0,0,8,0,3.6
7,0,2,0,45,0,1.2
3,0,1,0,8,0,1.3
3,1,1,0,17,1,2.7
10,0,16,0,102,0,4.4
2,0,0,0,11,0,1.4
2,1,2,1,25,1,3.3
3,0,0,0,13,0,1.7
2,0,8,0,38,0,3.2
26,4,20,0,532,0,1.8
0,0,0,0,4,0,1.8
0,0,0,0,5,0,2.5
0,0,7,0,28,0,1
4,0,12,0,175,0,4.5
3,0,0,0,6,0,0.7
3,1,1,0,39,0,2.4
2,0,0,0,6,0,1.4
4,2,4,0,63,2,3.8
1,2,3,0,11,0,2.2
1,0,3,0,17,0,3.3
1,1,1,0,10,0,1.2
10,0,21,0,176,0,4.4
10,0,2,0,56,0,3.2
10,3,5,0,56,2,5.8
6,0,3,1,86,0,4.5
8,15,6,1,164,0,1.6
5,0,5,5,14,0,1.9
13,2,5,0,59,0,3.1
0,2,0,0,5,0,0.9
5,0,0,0,11,0,2.4
8,0,1,0,73,0,2.5
8,0,0,0,5,0,2.5
15,0,5,3,108,0,4.1
2,0,0,0,16,0,2.2
0,1,0,0,109,0,4.4
0,0,6,0,241,0,4.4
11,5,4,0,81,0,2.1
6,0,7,0,90,0,3.7
4,1,3,0,23,0,0.3
3,0,2,0,54,0,1.4
2,0,0,0,5,0,2.5
2,0,1,0,10,0,2.2
17,0,2,0,17,1,4.1
17,0,57,0,391,2,4.4
1,0,0,0,21,0,1
2,2,2,0,25,0,1.7
1,0,0,0,19,0,1
23,0,17,0,250,1,4.5
5,0,0,0,19,0,4.1
1,0,0,0,29,0,1
2,0,1,0,15,0,2.2
3,6,3,1,65,0,1.8
2,5,7,4,6,0,3.3
7,2,3,0,79,0,2.4
7,2,3,0,12,0,3
8,0,0,0,7,0,1.8
8,3,14,0,126,2,4.4
45,10,15,4,80,4,4.1
45,11,9,0,338,1,2.7
0,1,0,0,69,0,3.9
23,15,2,0,172,0,5.1
23,1,2,0,1,0,1.9
0,0,4,0,197,0,3.9
7,0,2,0,31,0,3.2
7,0,1,1,4,0,2.7
8,5,2,0,69,0,2
15,1,2,0,114,0,4.7
21,0,36,0,354,0,4.5
2,5,7,4,7,0,3.3
2,0,4,0,41,1,4.6
1,1,0,0,101,0,4.3
1,0,6,0,319,0,4.5
0,0,12,6,36,0,2
12,0,1,0,14,0,3.5
2,0,0,0,8,0,1.2
12,0,6,6,10,0,1.9
2,2,2,0,15,0,0.4
20,0,1,0,81,0,5.1
18,0,0,0,5,0,3.4
18,0,1,0,14,0,4.8
18,0,7,0,59,0,4.3
18,0,1,1,12,0,2.5
18,0,4,1,43,1,2.7
4,71,74,1,142,0,4.7
7,1,4,0,45,0,2.5
0,1,0,0,113,0,4.4
16,3,22,0,182,5,5.2
53,0,2,0,27,0,2.9
53,1,1,0,23,0,2.2
53,6,34,11,437,1,4.2
1,0,2,0,14,0,1.4
3,0,1,0,14,0,2.3
73,5,1,0,184,0,4.6
73,8,10,0,103,3,4.8
73,0,0,0,6,0,2.5
3,0,3,0,65,0,2.6
2,0,6,0,22,0,4
1,0,3,3,30,0,2
4,0,1,0,32,0,4.8
4,0,0,0,5,0,2.5
12,0,9,0,137,0,4.4
3,2,2,0,20,1,2.8
8,13,6,1,222,0,3.3
16,2,0,0,18,0,2.2
16,6,4,0,68,5,5.1
0,1,0,0,105,0,4.3
4,0,8,0,432,0,4.8
1,1,0,0,11,0,1.7
2,1,0,0,21,0,2.2
4,0,1,1,12,0,2.5
4,0,1,0,19,0,2.9
0,1,2,0,12,0,3.3
2,10,12,1,11,0,4.7
45,10,49,1,964,0,5
5,0,1,0,30,0,1.9
3,3,2,0,36,0,2.5
3,1,2,0,23,0,2
55,30,2,0,76,0,6.6
55,0,0,0,6,0,1.8
55,0,1,0,14,0,3.4
5,0,0,0,71,0,4
7,4,9,0,124,1,3.2
19,5,19,0,31,0,5.3
2,2,3,0,28,0,2.1
7,1,16,0,46,0,3.3
1,0,0,0,13,0,2
6,8,7,0,158,1,3.5
6,29,43,6,33,0,6.6
5,1,0,0,161,0,4.8
5,0,5,0,66,0,2.7
28,0,0,0,5,0,2.5
28,5,19,0,327,0,5.2
28,0,1,1,10,0,4.5
2,0,2,2,8,0,2
3,0,2,0,38,0,2.5
0,0,1,0,26,0,2.1
2,0,2,0,8,0,1.4
44,0,10,0,68,0,3.6
44,1,2,0,452,0,5.4
44,0,9,0,191,0,4.5
2,2,5,0,45,0,2.1
8,3,2,0,23,1,2.8
8,29,49,6,45,0,6.6
0,0,1,1,11,0,2.5
28,0,0,0,5,0,3.8
28,7,49,6,487,1,6
28,1,4,0,56,1,3.5
28,2,10,1,99,0,3.8
28,0,3,0,42,0,3
0,0,0,0,7,0,3.9
