"NII","RFC","CBO","scores_ANN"
9,2,4,3
1,6,2,5.7
0,2,0,1.1
1,2,3,1.8
3,6,4,3.6
0,24,16,4.6
1,1,0,1.2
4,107,15,4
2,13,5,2.9
1,6,5,3.4
6,12,6,3.2
1,6,4,3.4
5,14,7,4.5
1,7,3,2.7
5,4,2,2.6
0,10,3,2
6,10,11,2.4
0,12,12,4.6
0,21,8,4.7
1,10,5,4.2
0,19,8,5
1,3,3,3.4
0,36,8,4.4
0,0,0,4.7
0,5,1,5.8
3,18,6,4
14,9,0,5.2
5,6,6,3.7
37,9,6,4.6
0,0,1,1.9
26,8,6,4.5
0,5,3,1.2
5,4,6,1.7
8,11,4,3.4
1,15,10,5.4
0,5,3,1.4
49,23,2,4.3
0,2,3,3.8
0,8,1,3.3
1,3,2,0.8
2,44,28,3
1,3,1,2.3
0,17,5,2.3
0,13,9,5
0,3,5,4.9
2,2,0,1.8
0,4,5,1.3
0,1,0,5.7
5,8,0,5.3
0,5,3,4.7
2,2,4,3.1
2,34,2,4.8
0,2,2,1.3
1,7,1,3.4
0,2,2,2.5
5,5,2,2.2
0,4,6,2
0,61,23,4.5
0,3,3,2
1,23,10,4.1
0,2,2,4
1,3,2,3.4
0,3,3,4.1
0,5,1,4.2
4,7,8,2.3
2,4,5,4.6
0,3,3,3.1
1,9,9,3.4
0,2,4,2
0,3,4,2
10,15,7,3.1
0,1,0,4.1
0,2,1,5.6
10,58,32,5
0,9,7,4.9
12,5,1,4.6
1,7,5,1.9
0,28,10,4.8
0,3,2,4
11,8,5,4.4
27,33,15,4.6
0,12,1,4.3
20,158,6,6.6
0,3,4,1.3
1,10,4,2.4
0,9,4,4
0,2,3,4
0,3,4,4
0,3,2,1.9
205,18,3,4.1
2,24,8,4.6
0,1,2,4
1,4,1,2.6
0,3,3,4
0,4,2,2.1
3,18,13,2.2
0,16,6,3
0,4,3,4.7
3,54,5,9.2
3,5,0,3.3
0,3,2,2.5
0,18,10,3.6
0,1,1,5.9
0,7,6,4.5
5,1,0,1.5
190,15,0,3.9
0,10,8,1.3
1,8,1,3.5
1,1,0,3.6
6,16,13,1.1
0,3,6,3.6
29,58,19,5.1
0,0,0,0.5
0,9,6,4.6
1,3,1,6.6
1,4,4,3.9
0,5,3,1.6
1,2,1,3.9
0,2,1,1.3
0,3,3,2.5
0,6,3,4.3
0,6,6,1.3
0,5,2,5.9
0,38,3,6.9
0,2,3,3.6
0,2,6,0.7
9,9,7,1.2
1,5,0,2.7
1,22,8,4.4
7,3,3,1.4
0,6,3,2.1
0,10,6,3.3
5,4,3,1.7
2,3,4,3.2
2,95,47,1.8
0,1,0,1.8
0,1,0,2.5
2,6,7,1
30,13,2,4.5
0,1,2,0.7
20,8,1,2.4
0,1,0,1.4
0,6,3,3.8
2,4,3,2.2
1,3,2,3.3
2,2,2,1.2
2,22,11,4.4
0,13,5,3.2
7,12,2,5.8
3,18,0,4.5
28,21,10,1.6
2,1,1,1.9
8,14,1,3.1
10,1,2,0.9
0,5,1,2.4
16,14,3,2.5
23,31,4,4.1
0,4,1,2.2
0,53,1,4.4
26,47,6,4.4
17,21,15,2.1
7,14,6,3.7
2,4,4,0.3
1,21,14,1.4
0,5,4,2.7
1,2,2,2.2
1,42,13,4.4
1,3,2,1
2,5,4,1.7
21,59,18,4.5
0,1,3,4.1
1,3,2,2.2
12,12,11,1.8
0,1,1,3.3
8,12,7,2.4
1,5,2,3
0,24,12,4.4
33,23,13,4.1
8,76,23,2.7
0,33,1,3.9
0,21,4,5.1
0,0,2,1.9
16,28,5,3.9
4,6,2,3.2
0,0,1,2.7
1,15,7,2
0,28,7,4.7
1,46,12,4.5
0,8,4,4.6
0,49,1,4.3
24,55,6,4.5
2,4,8,3.5
0,2,0,1.2
3,3,5,0.4
2,44,2,5.1
1,1,0,3.4
0,3,4,4.8
1,17,8,4.3
0,10,5,2.7
0,17,9,4.7
1,10,2,2.5
0,55,1,4.4
6,42,12,5.2
1,13,1,2.9
2,3,0,2.2
52,118,55,4.2
2,4,2,1.4
3,5,1,2.3
16,30,5,4.6
0,16,1,4.8
3,9,5,2.6
0,8,4,4
0,3,6,2
0,4,5,4.8
2,20,3,4.4
1,4,0,2.8
15,28,7,3.3
0,5,3,2.2
48,17,1,5.1
0,51,1,4.3
25,73,9,4.8
1,4,0,2.2
8,6,3,2.9
0,4,3,3.3
0,4,2,4.7
52,204,75,5
1,8,2,1.9
1,6,0,2.5
1,4,3,2
12,31,3,6.6
4,3,1,3.4
0,8,2,4
10,17,3,3.2
1,14,7,5.3
6,4,1,2.1
1,16,12,3.3
0,17,7,3.5
1,10,5,6.6
0,79,1,4.8
1,12,9,2.7
18,20,10,5.2
0,2,3,4.5
5,1,0,2
0,4,1,2.5
0,16,13,2.1
3,6,6,3.6
1,16,4,5.4
2,23,3,4.5
4,11,2,2.1
1,7,1,2.8
1,9,3,6.6
8,2,1,3.8
13,31,1,6
0,6,5,3.5
2,16,6,3.8
0,6,0,3
0,2,1,3.9
0,11,2,4.4
4,7,7,2.3
3,7,8,5
0,73,1,4.7
36,72,7,4.8
18,15,9,2.7
2,16,3,4.1
26,47,11,4.3
10,4,0,2.8
1,2,5,3.8
0,3,1,3.9
0,12,11,4.4
35,24,20,1.8
0,4,4,2
0,2,2,1.9
0,1,2,5
0,4,1,6.5
0,9,1,4.3
0,17,17,1.2
24,48,12,4.3
1,3,4,1.9
3,9,7,1.7
0,3,2,5.3
1,6,3,1.7
0,1,2,1.8
0,21,3,5.3
0,1,3,2.5
6,8,8,2.3
5,7,7,1.5
8,29,8,4
6,10,0,3.5
0,0,2,2.7
1,8,3,2.1
1,10,1,3.4
4,25,9,3.9
0,1,2,2.8
6,9,5,2.2
3,76,39,1.5
1,4,2,2.2
1,2,2,4.3
2,4,4,1.9
0,26,26,1.9
29,67,7,4.7
18,17,6,3
0,5,3,6.7
1,49,27,4.6
28,29,11,2.9
3,5,3,2.1
25,24,10,3.2
0,1,1,1.5
0,7,7,1.9
4,29,15,2.8
0,6,4,2.1
2,9,5,2.3
17,14,7,1.9
2,4,0,2.3
4,6,1,5.3
0,19,1,3.4
0,55,30,4.1
9,22,6,3.5
2,4,1,2.8
7,18,4,4.3
0,3,5,4
1,3,3,4.1
0,4,2,1.8
0,3,6,4.1
0,3,3,2.6
0,4,4,3
0,3,2,2
3,6,5,2.1
0,37,1,4
0,4,5,2.3
3,17,14,1.3
18,36,6,4.1
0,4,4,0.7
0,1,2,4.2
1,43,29,4.3
0,8,4,2.2
4,3,3,1.4
3,45,26,4.7
9,13,5,2.9
0,1,3,4.9
82,33,11,4.1
3,23,4,5.4
4,3,2,2.3
2,96,59,1.6
0,4,3,5.5
4,1,3,0.1
0,2,3,4.1
6,7,4,2
1,4,2,2.1
0,1,2,4.1
9,7,9,1.5
3,11,6,0.8
0,6,5,2.9
0,5,3,4
1,15,7,4.2
2,3,4,2.2
0,5,4,2
5,29,5,5.5
0,35,1,4
17,32,5,4
0,4,4,4
1,59,28,5.6
1,36,25,1.2
14,4,0,2.3
0,7,2,2.6
20,16,13,2.3
7,8,5,2
2,14,2,7.3
5,4,1,2.4
2,4,0,4.9
0,1,0,1.5
4,5,3,2.6
33,128,7,5.8
2,31,22,2
1,4,1,3.2
1,8,7,2.3
3,4,5,2.1
17,45,9,4.1
7,3,2,1.4
4,5,5,2.6
1,14,5,2.8
0,11,3,4.9
0,10,6,4
5,5,3,2.6
0,2,3,2
1,1,1,1.3
0,8,3,2.1
0,3,1,3.4
0,6,1,6.6
0,1,0,5.2
49,37,15,4.7
1,10,1,4.9
0,9,3,4.8
0,3,3,2.7
0,1,1,2.7
1,9,8,3
0,16,1,2.1
0,6,1,3.4
19,21,5,3.3
1,9,5,4.5
2,23,2,3.3
2,4,0,4.5
3,2,3,2.9
2,12,3,4.9
40,69,26,2.9
3,9,1,2.6
0,6,5,4.5
0,5,5,4.5
98,23,5,2.4
1,7,4,4.9
0,3,0,2.1
2,187,65,4.8
0,1,1,4.8
77,6,4,3
0,2,1,2.7
0,2,1,4.3
0,2,2,3.7
86,101,15,5.9
24,199,5,6.8
1,30,25,1.4
0,23,9,4.7
1,4,2,4.3
1,1,0,0.8
0,31,3,4
1,28,16,3.3
6,8,3,3.1
2,2,1,1.8
18,12,1,2.4
1,15,2,4.9
13,26,11,2.5
0,0,0,0.6
35,23,6,3.9
4,10,14,1.9
6,10,8,1.7
0,5,1,2.5
0,25,16,6.1
0,2,2,2.7
0,4,1,1.3
7,6,0,5.1
0,3,2,2.7
1,22,12,2.4
2,5,3,1.7
