"NII","RFC","CBO","scores_ANN"
2,15,9,1.3
3,11,6,1.7
21,21,6,4.6
3,12,8,4.2
1,7,8,3.6
18,31,7,3.9
52,29,28,4
3,3,0,4.1
1,2,0,4.2
190,74,9,6.9
0,4,1,6.2
0,1,0,6
6,10,7,4.1
1,20,6,4
2,6,4,3.6
3,33,2,6.6
1,5,7,1.4
1,27,9,3.8
0,5,3,6
0,29,9,3.6
338,152,50,4.5
3,8,5,4.7
29,9,5,5.2
1,4,3,6.2
0,9,8,4.1
1,3,0,2.1
11,23,3,4.8
9,15,9,1.7
12,5,0,4.2
1,5,4,1.4
11,13,4,3.6
1,12,11,4.4
10,22,11,3.6
3,37,18,4.4
1,7,9,3.6
3,12,0,3.2
1,6,7,2.9
0,17,17,2.3
0,40,12,3.6
0,8,5,3.3
15,10,6,4.2
6,6,4,5.1
0,18,0,3.9
0,7,0,2.5
0,19,0,3.9
0,15,6,2.4
26,79,23,4.4
0,20,0,5.2
5,41,47,1.3
43,12,2,4
3,3,0,2.8
0,10,6,4.8
4,8,3,4.7
3,8,3,1.5
0,2,4,4.2
3,7,5,3.5
2,7,6,1.7
146,38,7,4.9
1,22,19,4.7
2,8,6,3.4
0,8,5,3.2
0,18,7,2.9
5,18,15,2.3
1,2,1,5.5
3,11,4,1.9
40,12,9,4.3
0,10,1,6.2
0,4,5,2.5
7,12,4,2.3
0,4,4,3.3
1,2,3,3.9
9,24,13,3.8
4,39,22,4.3
17,27,10,4.3
2,4,1,2
40,59,18,7
2,2,2,2.3
2,3,1,3.5
4,5,0,3.1
0,2,2,5.3
9,18,3,2.4
2,2,1,2.1
9,14,5,1
4,9,9,5.1
0,12,8,6.3
1,13,10,4.2
20,46,43,3.4
5,7,3,2.8
0,8,7,3.2
3,1,1,1.5
10,11,5,3.6
1,11,3,2.8
56,24,9,3.3
4,7,1,0.7
21,9,3,3.2
0,13,4,3
0,8,2,3.6
4,38,12,2.9
14,11,2,2.3
24,32,13,3.2
3,3,2,3.1
3,6,2,3.5
0,12,11,2
1,18,3,1.7
40,155,9,6.5
8,41,14,3.1
57,6,5,5
1,21,18,4.5
607,100,28,5.9
0,9,7,5.4
0,15,10,4.8
1,8,7,2.2
56,2,2,3.4
10,9,5,2.6
0,17,10,5.3
3,15,5,0.9
0,5,9,2.3
4,10,2,2.7
0,11,7,6.5
9,11,7,3
48,81,25,5.9
541,13,5,3.9
16,5,5,2.7
1,19,4,3.1
14,19,8,3.7
11,12,3,2.7
16,29,11,4.2
5,4,0,2.1
8,10,2,3.5
194,15,3,2.6
0,32,29,2.5
1,6,4,2.4
0,19,6,5.2
3,9,6,2.9
41,25,16,3.6
5,13,15,3.8
2,25,24,4.7
2,4,0,6.4
10,17,9,4.3
5,4,6,3
9,63,1,4.6
5,13,7,3.3
36,12,12,2
0,1,3,4.3
1,5,3,4.5
0,51,36,3.5
17,14,10,3.1
5,7,1,2
0,8,1,8.5
0,6,0,6.6
1,18,6,5
0,5,5,3.3
0,35,8,3.3
4,12,6,2.5
2,3,1,2.6
10,2,2,1.5
9,24,14,7.1
23,47,15,6.4
1,6,1,4.1
46,14,4,2.8
8,9,2,5.3
0,11,9,3.5
1,8,6,4.7
0,2,0,6.7
0,14,5,6
0,9,6,2.1
8,7,4,3.4
2,21,8,6
0,7,6,4
7,141,12,7
12,5,3,2.4
71,36,7,6.4
0,28,25,2.4
0,42,3,6.4
3,8,6,4
12,36,15,5.1
1,4,2,5.4
0,5,6,1.3
0,6,8,1.3
1,3,3,4.4
1,18,8,4.4
0,20,15,3.5
820,513,40,8
0,30,8,4.8
1,2,2,4.6
3,4,1,1.9
0,19,10,2.8
6,4,2,3.9
2,4,1,1.5
0,16,14,2.4
0,4,7,2.3
0,25,7,3
8,4,2,3.9
4,4,0,2.8
2,39,26,3.4
2,3,2,4.8
0,25,16,4.6
0,37,13,3.2
10,9,6,3.5
1,22,17,4.5
0,11,8,3
0,9,5,2.4
0,19,14,2.7
1,6,3,1.9
1,8,1,4.8
2,4,0,6.6
1,10,5,3.7
4,25,9,4.6
21,23,11,4
2,7,3,3.4
8,7,1,3.1
11,25,12,2.6
3,1,0,1.2
4,7,3,2.8
4,3,3,4.1
3,68,22,7
8,79,20,7
2,12,5,2.4
0,6,1,2.6
28,10,4,5.3
33,106,34,5.2
0,7,5,5.8
2,6,3,5.3
10,7,2,2.6
0,14,0,3.6
3,13,3,4.7
13,10,3,2.3
2,7,1,1.3
0,26,10,4.4
3,3,2,3.5
24,9,2,2.7
0,56,33,3.9
0,10,9,3.3
1,13,9,4.4
14,4,3,2.9
1,7,1,2.9
19,12,5,4.1
1,6,10,3.7
5,13,1,5.5
0,4,1,1.9
0,17,6,4.4
0,13,13,2.3
4,15,11,2.8
6,11,8,1.7
18,23,11,2.5
15,34,20,2.6
3,79,12,6.7
2,12,9,2.9
2,8,2,3.5
1,6,6,4.3
0,3,7,3.8
2,3,1,1.5
1,5,2,1.2
0,8,5,2.9
2,8,3,4.6
2,7,3,1.5
0,19,4,3
1,1,6,2
2,15,13,4.7
0,1,2,4.7
0,8,8,3.3
0,8,4,3.2
2,19,16,4.7
2,12,12,3.6
32,25,5,6.2
0,25,16,4
4,25,5,4.7
0,11,6,2.9
13,31,10,4.7
0,9,11,2.3
0,135,26,6.1
10,8,1,2.7
1,13,14,3.6
0,27,16,2.9
10,6,4,5.1
18,39,18,4.6
2,10,3,3.3
8,19,4,7.1
1,12,2,2.5
0,19,11,3.7
1,30,11,7
4,7,2,3.6
24,9,6,3.8
0,25,25,5.5
1,7,2,2.8
5,8,6,3.9
11,6,3,2.3
360,115,39,3.8
1,39,16,7
1,7,3,3.9
24,47,28,4.7
0,8,5,3.6
24,4,1,3.2
0,29,16,3
0,3,4,0.8
1,3,4,4.1
0,5,5,3.4
2,2,1,4.5
2,2,2,0.8
0,3,1,3.3
3,7,3,4.6
0,16,8,2.7
21,4,1,3.2
7,8,3,4
0,18,17,2.3
7,5,2,2.7
3,22,22,4.7
2,6,4,3.2
0,28,9,3.4
3,8,14,3.7
3,18,14,4.5
4,6,2,3.1
9,49,21,4.4
4,11,7,4.4
8,4,3,3
0,1,3,0.1
0,15,10,3.6
20,28,15,4.1
3,9,1,5
8,10,8,4
7,14,7,3.6
0,6,2,0.6
10,11,7,3
4,5,0,4.5
1,10,2,4.3
21,18,6,3.1
20,67,18,6.3
9,9,5,3.5
6,22,5,5.1
1,3,2,4.6
2,10,6,1.9
3,1,0,0.8
4,6,3,2.4
21,34,8,3.6
1,25,4,6.1
0,8,4,4.4
0,10,8,4.1
10,3,2,3
53,534,19,8.1
2,7,3,4.6
0,10,6,3.1
11,32,9,3.7
8,2,0,3.6
0,9,5,1.7
6,11,2,4.7
1,8,1,2.9
104,11,6,5.2
1,7,2,4.8
0,5,1,1.7
3,9,3,4.9
0,22,21,2.4
1,14,9,2.6
13,54,15,6.4
3,3,1,2.9
1,9,18,3.7
2,12,17,4.3
3,2,2,4.7
1,4,1,4
0,8,5,4.4
4,9,7,4.2
6,16,6,2.9
12,4,1,3.2
84,5,2,2.1
32,144,22,6.9
5,3,0,4.9
0,2,5,3.5
11,28,8,4.1
0,6,5,3.6
15,18,13,4
0,12,5,5.2
9,3,3,2.5
0,15,8,4.2
0,3,0,7
5,5,1,3.4
1,6,2,3.6
2,5,6,3.5
0,64,26,5.3
0,8,5,4.3
1,7,6,2.1
0,3,2,3.8
0,11,0,3.4
0,7,4,2.5
4,11,8,4.4
0,14,10,3.6
0,4,3,4.6
0,7,4,3.6
12,1,0,1.5
0,7,2,2.3
10,31,11,3.6
0,20,18,2.4
0,11,2,4.8
1,14,3,4.8
4,10,5,4.2
4,22,2,6
0,2,3,5.6
26,44,7,6.6
1,23,1,6.6
3,9,9,4
13,93,28,6.4
0,19,8,2.7
2,6,3,3.8
7,52,18,6.9
12,3,2,2.6
9,25,8,5
1,4,1,2.4
0,4,4,5.2
10,35,15,4.6
1,10,4,4
2,11,7,3.5
1,5,3,2.5
0,24,4,3.2
2,7,3,3
0,17,16,2.3
2,12,5,1.9
0,11,8,3.6
0,12,3,4.7
0,8,8,5.2
1,4,8,4.8
6,22,14,4.8
0,4,7,4
0,7,9,4.1
1,5,6,4
1,3,2,0.4
1,13,11,4.8
1,9,10,4.8
1,4,4,2.1
1,4,9,4.8
1,4,11,4.8
4,5,3,3.2
4,35,6,4.9
4,38,6,4.7
1,6,0,3
2,2,2,3.3
19,25,3,4.4
0,6,5,1.7
5,11,8,4.2
25,43,25,3.2
1,4,3,0.3
1,5,7,5.9
1,4,4,4.3
0,5,3,4.9
5,9,5,3.6
0,6,4,5.8
0,3,7,2.5
8,14,0,5.9
0,10,9,2.7
0,18,4,3.6
0,20,12,2.6
15,82,47,4.5
7,17,5,2.9
0,22,0,4.1
2,2,1,4.1
3,9,2,4.7
4,7,2,4.4
1,8,4,0.4
9,29,11,6.4
1,5,7,3.6
1,29,4,6.1
1,15,19,3.7
0,4,3,5.1
3,50,16,3.1
1,5,5,0.8
6,21,14,2.5
1,4,0,1.7
4,6,1,2.3
2,13,11,4.4
22,80,6,9.2
412,404,17,8.7
5,11,0,3.8
1,9,6,0.9
0,21,17,2.3
8,12,5,1.9
1,58,16,6.6
4,7,1,3.4
0,10,4,4.6
13,3,0,1.4
10,9,3,3.9
0,10,9,4.2
1,7,4,0.4
3,28,28,4.9
0,66,25,4
6,28,27,4.8
8,42,30,4.1
30,20,5,3.9
5,14,1,4.9
3,4,0,1.2
9,15,7,3.3
31,13,1,3.4
0,7,2,4.4
7,38,22,4.5
4,38,10,4.9
8,30,10,4.4
1,31,7,6.5
73,54,15,4.6
2,2,2,0.2
7,3,0,1.4
13,16,6,4.3
6,17,12,4.3
3,10,0,7.5
1,10,17,4.9
0,10,6,2.9
1,6,0,2
1,3,2,2.7
6,14,6,3.7
14,9,4,3.3
0,43,21,3.5
16,4,5,4.5
1,7,2,4.4
0,13,13,3.1
11,4,3,2.7
0,19,7,1
1,7,6,0.3
1,7,3,3.3
39,2,1,1.5
1,7,3,4.1
0,0,2,0.7
0,7,9,2.4
4,9,1,5.2
4,7,6,2.7
5,4,4,2.4
8,28,10,3.6
0,0,14,1.8
0,10,11,2.7
1,30,15,2.1
27,18,5,3.2
3,8,7,2.7
15,19,7,8.5
6,10,2,8.3
4,7,2,3.2
0,42,18,2.8
0,6,9,2.3
7,15,6,3.7
1,3,6,0.8
0,44,16,3.4
7,2,2,4.1
0,4,3,4.5
0,10,5,4.2
0,9,12,3.5
0,4,4,1.1
65,103,17,4.1
4,7,5,2.7
2,4,0,1.7
5,3,1,4.1
1,8,4,4.5
0,3,3,7.1
4,88,20,6.1
55,30,12,3.6
0,61,34,4.3
0,4,6,2.7
0,17,7,5.7
0,32,22,2
0,1,4,3.3
1,7,2,3.4
1,7,6,1.6
2,15,13,3.1
6,59,16,6.7
18,119,33,6.5
2,5,0,3
1,16,10,4.7
1,3,3,0.2
0,6,3,2.5
1,5,4,4.3
0,10,13,1.9
0,370,47,9
0,16,14,3.7
16,13,7,2.4
1,20,17,2.6
0,4,9,1.9
1,8,8,2.3
6,28,7,3.5
0,12,8,3.2
19,26,5,6.2
4,2,1,4.2
12,32,19,3.2
1,31,17,1.7
2,5,15,2.4
1,26,2,3.3
4,19,7,2.4
1,3,2,0.2
2,10,1,2
9,22,5,4.3
4,26,0,6.1
35,15,4,3.9
0,41,28,4.9
6,51,21,3.9
5,11,3,2.8
0,21,15,3.7
7,18,3,5.3
3,48,21,5.3
5,4,1,2.2
0,10,8,2.4
0,26,21,4.1
0,6,3,1.6
1,7,7,2.9
1,1,5,0.8
0,12,10,3.3
8,6,4,0.5
0,2,1,6.4
0,8,8,3.2
3,1,0,2.6
1,3,0,2.8
0,8,7,3.8
5,41,24,4.4
0,35,21,4.5
7,32,12,4.4
1,22,3,4
5,4,1,2.3
16,61,18,4.2
4,9,0,2.9
1,10,12,4.7
9,5,4,2.6
3,11,4,2.9
8,3,2,2.2
0,16,9,1.3
1,27,29,4.9
6,33,30,4.8
0,3,3,5
1,11,7,3.7
7,10,4,2.7
4,5,3,1.8
1,7,7,3.7
2,6,4,0.3
1,1,0,4.7
0,42,7,7.8
5,5,3,4.4
4,19,1,4.7
4,6,2,4.6
1,27,27,4.9
0,35,9,3.6
3,34,29,4.8
4,11,3,3.6
1,16,7,4.6
2,2,2,4.3
80,36,16,3.3
3,7,4,2.7
4,2,1,4.1
0,5,3,4.4
0,44,12,3.2
1,19,7,4.9
3,39,12,4.7
0,2,12,2.5
22,4,0,2.2
6,5,2,3.4
9,22,9,4.4
2,7,13,4.7
7,31,12,3.5
0,2,15,2.5
3,15,5,4.2
0,8,4,3.1
0,3,7,3.3
7,25,4,3.9
0,5,2,3.7
0,2,16,2.5
4,6,4,2
0,7,3,2
18,21,7,3.3
15,90,45,3.9
0,4,4,7
11,10,3,2.5
17,25,9,3.1
2,2,1,2.9
1,17,6,4.8
19,5,3,3.5
0,9,2,3.5
8,12,1,2.6
1,8,7,4
0,0,0,3.8
80,118,9,7.6
0,25,8,5.2
2,24,15,4.5
0,15,4,4.4
0,3,6,2.9
8,347,33,7.3
0,7,4,0.7
0,1,4,3.1
0,7,0,3.8
2,9,3,3.8
18,79,25,4.5
4,46,12,6.3
4,2,1,5.4
5,2,2,4.2
1,3,0,6.8
2,20,3,7.7
12,37,17,3.4
13,30,13,3.1
8,12,13,2.6
2,27,1,3.3
2,5,7,2.9
1,15,14,3.5
2,22,11,3.2
16,30,13,2.9
2,24,21,2.6
67,8,1,3.6
0,59,18,3.7
10,84,13,6.6
9,43,6,4.8
3,11,5,2.5
28,51,9,4.9
6,32,6,3.5
0,22,9,5.2
1,11,4,7.7
3,4,1,2.5
2,36,9,2.2
57,20,1,4.1
0,20,6,4
0,10,8,3.9
177,8,6,3.9
16,25,4,3.9
0,70,47,3.8
3,9,14,4.7
27,24,9,5.6
178,10,6,3.4
0,17,10,4
4,40,22,4.5
14,8,6,3.8
18,20,15,4.4
8,19,3,3.1
129,81,12,5.4
4,6,2,4.4
195,58,20,5.1
2,47,25,4.5
10,30,3,3.5
5,31,12,3.9
7,19,4,3.2
4,10,3,4.3
0,19,5,4.5
24,167,4,5.4
2,9,13,3.7
7,32,3,3.2
3,4,1,4.6
2,79,12,6.7
0,18,6,1.4
2,5,1,5.7
2,10,10,2.1
1,18,22,4.9
3,44,24,4.5
21,6,2,2.5
18,6,1,4
1,6,1,3.2
1,25,20,5
4,2,2,2
1,10,9,3.8
4,12,0,5.3
6,28,10,3.9
8,10,5,2.9
1,9,18,4.8
0,5,2,2
0,5,0,5.3
0,2,3,6.9
1,18,21,4.8
0,27,8,4.5
0,12,5,4
0,2,3,3.3
0,11,4,3.7
3,13,10,3.6
20,58,17,4.3
3,8,6,5.3
1,12,9,5.7
12,16,6,4.5
0,7,6,7.7
0,7,5,3.2
2,4,5,4.3
0,7,2,5.4
2,5,7,2.1
3,11,9,3.6
2,10,2,2.8
4,30,7,3.4
6,8,13,3.7
15,14,7,2.7
6,26,10,2.8
62,8,6,1.9
0,2,7,1.9
1,19,1,4.8
5,8,4,3.7
0,17,4,4.3
6,4,4,4.4
2,2,4,4.3
0,3,8,1.9
0,11,10,3.8
10,24,11,3.9
12,23,5,1.8
7,4,1,2.8
7,3,4,4.3
32,90,30,3.9
1,3,4,2.3
8,18,11,2.6
39,63,6,4.6
1,3,2,2.8
0,10,2,3.8
2,10,5,3.3
2,7,6,4.8
0,35,12,4.3
6,14,4,2.8
0,38,35,3.7
0,9,5,5
2,28,17,4.5
5,28,12,3.9
0,11,3,4.3
5,34,1,4.8
1,37,0,4.1
0,0,1,0.1
0,4,5,3
22,37,8,3.8
6,75,28,4.2
12,9,2,3
18,20,12,4
59,23,13,3.4
5,10,1,4.2
8,19,6,4.7
1,57,21,7.1
3,13,1,7
1,25,9,4.2
2,8,1,3.7
0,17,8,4.3
4,15,5,4
240,100,17,4.9
2,4,4,3.1
2,20,2,4.9
0,32,13,5
0,4,7,1.6
3,3,1,1.7
3,7,2,2.6
3,13,10,3.4
7,6,6,4.3
0,8,6,3.3
1,20,6,3.1
2,10,9,2.4
0,5,4,1.8
1,2,1,2.1
1,3,8,4.4
1,5,2,4.5
6,26,6,3.7
1,10,0,3.5
13,46,17,3.2
10,38,12,3.2
4,5,2,2.2
55,13,2,3.6
3,3,0,3
0,5,7,3.6
102,65,12,4.8
2,7,4,5.4
0,4,3,3.1
2,32,15,3.5
0,25,6,4.7
1,16,12,4.5
1,7,12,1.6
0,2,5,2.9
0,3,5,1.3
1,28,29,3.8
6,8,1,4.7
1,10,5,6.2
0,7,6,1.7
0,3,16,2.5
399,72,13,5
0,3,17,2.5
4,35,9,2.9
0,60,19,4.8
0,3,0,4.8
6,21,9,3.5
4,5,1,3.3
1,8,5,5.4
1,1,1,3.3
79,16,1,3.9
4,7,6,5.1
26,4,0,2.9
33,16,4,3.2
2,20,9,1.8
4,2,0,3.2
0,15,10,3
13,14,9,2.2
1,33,22,3.2
6,15,5,4
2,7,3,3.9
1,46,2,5.9
5,4,0,4.3
0,31,21,2.4
0,4,0,3.1
0,19,7,4.1
6,5,0,5.6
2,6,2,4.7
35,3,5,1.6
8,7,0,4.9
43,23,15,6.1
0,33,20,6.1
0,3,3,3.8
9,43,6,4.3
12,12,4,2.9
11,6,3,4.4
0,3,0,5.2
11,5,2,2.3
0,10,6,4.3
0,28,23,4.3
16,34,18,3
12,6,0,4.2
0,8,5,3.4
0,13,4,3.5
3,16,15,5.1
10,6,2,4.2
1,12,7,3.2
0,2,4,5.3
0,5,4,2.5
0,10,3,3.5
1,4,7,2.7
0,8,4,4.2
0,46,29,6.2
0,3,6,3.2
0,90,21,3.9
0,6,2,3.1
0,20,15,6.1
0,54,32,6.2
5,18,13,4.1
0,63,32,6.2
1,6,7,0.9
1,5,4,5.4
1,22,13,5.7
0,81,40,6.2
0,17,10,2
1,9,8,3.2
0,58,31,6.2
2,15,2,5.3
1,3,3,3
0,7,4,3.8
1,7,10,4.2
7,12,5,4.3
1,11,10,3.2
0,38,22,6.1
1,14,7,3.2
0,51,29,6.2
0,35,14,2.9
0,14,5,5.5
0,49,28,6.2
4,6,6,1.8
6,81,29,3.1
5,4,4,2
13,21,13,2.6
0,10,3,1.6
305,44,5,4.2
2,4,2,2
14,23,7,2.8
1,15,6,3.1
0,3,4,5.3
9,10,3,2.4
0,46,22,4.4
0,9,6,4.3
12,7,1,3.8
101,14,4,2.8
0,13,8,4.3
0,55,26,4.5
0,31,17,6.1
0,74,37,6.2
4,23,8,5.1
0,6,1,3.9
0,62,32,6.2
10,26,6,4.2
378,7,2,3.4
2,3,3,2.7
0,8,10,5.2
2,6,3,2.5
1,8,1,3.1
0,87,7,5.4
6,8,5,2.1
0,5,6,5.5
2,21,11,1.5
0,69,39,6.2
4,47,15,3
0,42,17,6.2
15,30,14,6.1
5,11,9,2.5
5,12,3,2.8
1,5,0,3.3
0,10,4,3.7
0,16,13,3.2
0,82,41,6.2
0,1,1,5
8,3,2,1.4
4,8,3,2.1
5,6,2,2.1
12,4,4,1.6
0,18,8,4.4
0,23,13,4.4
0,27,14,4.4
0,83,51,6.2
0,22,12,4.4
2,10,8,3.3
0,14,2,2.6
35,48,3,9.3
0,15,5,6.3
0,1,2,6.1
0,25,14,4.4
0,48,26,4.5
0,10,2,2.4
0,22,10,4.4
0,3,7,2.3
0,41,15,4.5
0,42,16,4.4
0,79,31,4.4
0,34,12,4.4
1,8,8,4
0,65,41,6.1
0,13,5,4.4
2,76,33,4.5
0,48,9,4.2
0,85,40,4.4
0,34,10,4.8
7,5,1,1.7
0,13,7,2.4
22,42,4,2.5
0,7,0,4.3
0,57,15,4.4
0,2,1,5.4
0,24,15,4.4
2,20,11,2.5
0,85,28,6.3
0,26,14,4.4
0,34,18,4.4
0,10,5,4.3
0,49,24,4.4
4,1,0,3.7
1,34,16,4.4
0,47,25,6.1
1,16,12,2.6
0,39,26,4.4
8,11,5,2.3
0,3,2,6.2
1,2,1,2.7
0,29,15,4.5
36,5,3,4.4
2,8,4,5.8
0,4,2,7.5
59,25,6,4.7
1,15,7,6.6
0,27,12,4.4
0,9,2,3.2
3,15,9,3
0,20,10,4.4
0,34,16,4.4
1,12,3,2.8
4,9,0,3.8
8,15,7,3
0,14,8,3.5
0,0,5,1.6
0,24,9,4.4
3,6,6,1.4
2,70,31,4.5
0,33,12,4.4
0,26,15,4.4
0,10,5,4.5
0,32,30,1.7
1,25,8,3.1
0,53,27,4.5
8,20,7,3.2
0,4,1,3.4
31,9,4,2.2
2,11,5,2.8
0,46,13,4.1
0,19,10,5
0,23,14,4.4
1,16,5,2.9
3,13,5,3.1
3,21,4,3.2
0,32,15,4.4
1,17,14,2.4
1,8,4,3.1
4,7,2,3
8,8,1,5.3
1,15,6,2.9
2,11,4,3
0,68,37,4.5
3,16,4,3.1
2,14,5,3.1
0,5,2,4.5
3,18,6,3.2
0,48,23,4.6
20,10,3,3
1,13,7,2.8
1,9,4,2.5
0,42,17,4.4
3,14,4,3.2
1,13,3,2.9
0,20,11,4.4
5,4,3,3.7
2,3,2,3.8
5,21,8,3.2
0,27,17,4.4
0,27,15,4.4
2,16,3,3.1
2,20,6,3
1,8,4,2.7
0,19,8,4.4
0,39,17,4.4
0,32,22,4.4
2,41,8,5.6
0,70,29,4.4
0,44,22,4.4
2,20,19,4.5
0,20,8,3.3
0,26,16,4.4
0,85,39,4.4
18,11,2,3.1
0,35,14,4.4
0,44,19,4.4
0,61,33,4.5
3,27,17,4.3
1,6,10,3.8
2,2,1,2.7
0,29,13,4.4
13,4,6,3.8
3,22,10,2.2
0,28,20,4.3
0,17,9,4.4
0,3,4,3.5
343,10,4,3.4
0,64,22,4.9
4,15,4,5
0,5,8,2.7
6,14,15,2.5
2,5,1,2.5
16,9,6,4.1
3,36,20,5.1
1,28,19,4.6
7,4,0,4.8
4,4,3,4
0,9,6,1.3
0,3,4,3.7
2,33,23,4.5
17,56,10,4.1
1,1,2,3.2
0,6,11,2.2
2,25,11,3
0,36,12,3.2
0,29,13,4.5
13,12,3,2.9
2,21,5,4.8
0,18,11,4
1,8,3,3.2
7,31,5,6.6
36,14,0,5.9
0,6,0,3.6
0,110,19,7.5
1,4,1,5.1
1,16,9,3.3
0,33,11,2.5
0,8,3,3.5
30,22,6,5.8
3,12,3,2.8
0,47,21,3.9
0,12,14,5.2
1,13,9,2.5
9,9,1,5.1
51,10,10,2.1
1,23,8,3.5
970,59,13,5
0,3,4,3.9
1,32,21,3.8
0,21,6,4.9
0,5,1,6.4
2,4,1,4.3
0,3,6,2.2
2,41,22,4.2
1,8,4,3.4
0,29,16,2.6
0,86,18,5.4
0,24,7,3
0,9,7,4.4
0,17,1,3
0,72,28,4.4
1,6,5,2.2
0,13,3,2
0,14,5,2.4
5,5,4,4.3
68,63,17,4.9
0,34,13,3
0,18,14,2.3
3,6,4,3.3
13,7,3,2
1,4,8,3.3
0,15,9,3.8
0,3,0,2.3
6,4,0,2
7,17,6,3
0,27,20,5.4
8,12,6,2.9
0,11,2,5.5
51,21,5,6
10,32,6,6.5
26,49,20,3.7
0,50,7,4.4
4,8,6,2.9
6,5,5,2.5
2,8,2,2.7
31,19,10,3.2
1,8,9,3.8
3,37,16,3.5
2,5,3,5.3
4,8,5,2.9
1,12,4,2.5
4,6,2,2.8
2,5,3,2.6
0,13,5,2.6
1,12,7,2.7
1,3,5,2.7
2,25,17,2.6
29,22,3,4.3
1,2,1,5.1
0,23,3,5.4
2,16,16,4.3
5,2,5,4.3
10,27,4,3.2
11,18,3,7
17,18,3,5.6
72,51,8,6.2
2,24,20,7.4
4,14,3,5.7
1,6,7,4.6
4,11,2,6
0,2,6,2.4
0,2,3,5.5
1,1,0,0.1
1,9,8,1.2
4,233,91,4.2
2,27,21,1.2
1,10,8,2.4
0,12,7,3.3
7,11,2,4.9
3,33,14,4.1
13,4,1,1.5
1,6,11,3.7
10,9,5,2.3
3,4,0,3.5
0,4,7,4.3
1,10,4,4.4
2,4,3,2.6
2,7,1,4.9
0,30,22,4.3
10,4,2,3.9
15,7,4,4
0,2,1,5.2
12,9,5,2.9
0,22,11,4.4
0,12,10,2.8
2,17,17,4.3
0,30,11,4.4
0,40,18,4.4
4,3,0,2.9
1,4,3,2.3
5,31,9,3.3
2,8,4,5.9
0,13,6,3.3
3,34,14,4.2
1,2,3,1.2
1,6,12,3.8
4,5,4,1.7
0,13,2,2.7
2,21,10,1
2,4,6,1.8
21,25,10,3.7
26,32,14,4.4
5,6,1,5.1
65,32,17,4.4
2,23,9,5.2
15,7,0,6.8
0,1,1,5.8
7,17,9,7
22,9,6,4.1
0,9,3,4.6
4,3,0,4.7
3,24,17,4.3
0,12,10,2.7
12,25,8,4.2
0,88,22,4.3
8,9,1,4.2
0,25,14,4.3
2,20,20,4.5
0,7,6,3.3
0,27,14,4.3
1,7,12,3.8
1,13,5,2.3
0,6,3,3
2,9,5,2.4
0,4,8,2.7
20,35,11,3.9
45,56,21,4.1
10,39,12,5.1
6,4,3,3
3,25,17,4.3
4,6,5,4.3
2,2,1,0.3
0,21,11,3.1
8,7,0,4.1
0,17,12,4.2
29,21,5,3.1
4,25,1,5.4
0,14,12,4.2
0,16,11,4.2
0,2,4,3.1
17,32,9,4.4
0,17,14,4.2
7,4,5,3
0,29,19,4.6
0,41,5,3.5
35,2,0,3.9
0,53,8,3.8
0,18,14,4.4
2,6,2,4.3
11,19,8,3.8
0,13,13,4.2
37,14,6,3.8
2,12,5,3.5
1,5,7,1.9
0,23,12,4.3
0,30,7,3.4
2,20,16,2.7
0,11,10,4.2
3,9,14,1.8
0,19,12,4.3
7,15,6,3.1
1,14,6,2.8
6,16,17,4.5
4,3,1,2.9
1,9,6,2.3
1,12,7,2.3
4,39,13,4.3
1,2,1,5.4
0,33,6,6.8
3,6,2,2
4,17,10,4.3
0,8,2,2.8
9,19,8,3.8
2,10,9,4.5
101,51,14,4.9
1,1,0,4.2
2,5,5,1.5
5,17,12,4.5
2,9,9,4.5
3,16,12,4.5
1,13,3,4
0,29,3,3.6
36,42,14,5.3
2,7,3,3.1
2,13,5,3.1
8,18,8,3.6
4,82,23,5
9,5,0,5
1,9,4,2.9
4,13,5,3.1
0,12,10,4.3
11,18,8,3.7
0,12,13,3.8
1,3,1,3.7
4,9,1,3.7
0,5,5,5.5
4,7,1,6
5,88,29,6.4
0,24,16,3.7
0,9,15,2.9
1,25,1,5.4
2,11,10,4.5
1,12,8,0.8
2,12,4,3
87,75,38,5.1
1,12,4,3.1
27,23,7,4.6
16,26,8,4.1
0,8,14,2.9
22,40,24,4.5
1,14,5,3.1
3,6,1,5.6
2,10,10,4.5
1,5,6,5.6
10,10,3,4.3
4,37,14,4.3
6,9,2,2.8
2,12,5,3
5,18,9,4.9
16,28,13,3.9
104,61,32,4.4
12,5,1,3.6
6,16,18,4.5
7,19,11,3.8
0,22,3,3.3
21,16,0,4.4
2,16,6,3.1
38,5,7,3.1
1,8,4,3.2
34,22,9,3.9
2,2,4,2.9
0,9,5,1.6
1,5,4,2.6
1,10,4,3.2
11,82,19,4.4
1,15,5,3.1
1,13,4,3.1
5,11,1,3.8
0,64,42,4.8
30,95,11,5
1,11,5,3
3,12,2,4.7
0,26,21,5.2
1,13,6,3
0,1,3,7.1
0,20,11,2.8
2,8,9,3
3,31,17,4.1
2,4,1,3.3
38,4,1,3.2
0,2,8,2.9
0,47,12,4.7
1,5,2,4.8
3,11,6,3.5
0,23,13,4.5
1,16,10,3.6
1,100,20,5.8
40,74,31,4.4
17,3,2,4.4
0,10,1,2.7
0,56,29,3
2,16,0,4.4
0,0,3,1.8
1,12,6,6.1
0,21,16,2.3
0,57,42,5.3
0,10,1,2.6
0,0,4,2.1
